,Gen,Mean,Min,Max,Std,-Std,+Std,type
0,0,-4.895000046724453,-10.95000030612573,-3.499999986961484,2.2116114982266595,-7.106611544951113,-2.6833885484977937,random
1,1,-2.3950000401120635,-3.9000000040978193,-0.2000001547858119,1.314239252179535,-3.709239292291598,-1.0807607879325285,random
2,2,0.15999980694614352,-3.2999999783933163,5.299999774433672,2.721561921395128,-2.5615621144489844,2.8815617283412718,random
3,3,2.111749722529203,-3.2999999783933163,8.249999512918293,3.6244367295184428,-1.51268700698924,5.7361864520476455,random
4,4,4.824999597528949,-1.3000001246109605,14.99999926239252,4.8879569497222395,-0.06295735219329046,9.712956547251189,random
5,5,7.214999526692554,0.699999806471169,15.799999258015305,4.547034574921907,2.6679649517706467,11.76203410161446,random
6,6,9.229999458696692,0.699999806471169,18.449999062344432,5.553296098259413,3.67670336043728,14.783295556956105,random
7,7,9.614999448135496,0.699999806471169,19.849999045021832,5.667232356987147,3.947767091148349,15.282231805122642,random
8,8,12.029999374365435,0.699999806471169,32.69999851612374,8.262813949618891,3.7671854247465433,20.292813323984326,random
9,9,15.529999195924029,0.699999806471169,37.39999844832346,11.243846755549306,4.286152440374723,26.773845951473334,random
10,10,16.164999223966152,1.0999997076578438,37.39999844832346,11.032475494845423,5.132523729120729,27.197474718811577,random
11,11,17.919999125087635,6.54999971203506,37.39999844832346,10.642067061368486,7.277932063719149,28.56206618645612,random
12,12,18.139999107317998,6.54999971203506,37.39999844832346,10.623930136808793,7.516068970509204,28.763929244126793,random
13,13,20.049999101366847,6.54999971203506,37.54999853344634,10.656054245274763,9.393944856092084,30.70605334664161,random
14,14,21.44499909998849,6.54999971203506,37.54999853344634,9.847523439254394,11.597475660734096,31.29252253924288,random
15,15,22.21999900508672,6.54999971203506,37.94999839458615,9.907400904507176,12.312598100579544,32.1273999095939,random
16,16,22.57999897026457,6.54999971203506,37.94999839458615,9.911941927472029,12.66805704279254,32.4919408977366,random
17,17,23.544998953910543,6.799999644048512,37.94999839458615,10.435263170324575,13.109735783585968,33.98026212423512,random
18,18,24.429998914804308,6.799999644048512,37.94999839458615,9.506923462207231,14.923075452597077,33.93692237701154,random
19,19,24.429998914804308,6.799999644048512,37.94999839458615,9.506923462207231,14.923075452597077,33.93692237701154,random
20,20,25.044998945854605,6.799999644048512,38.94999863486737,9.439317703810113,15.605681242044492,34.48431664966472,random
21,21,26.694998869532718,6.799999684095383,46.59999818820506,10.853120114019196,15.841878755513521,37.548118983551916,random
22,22,28.384998724795878,10.299999407492578,48.79999805055559,10.574262005893978,17.8107367189019,38.959260730689856,random
23,23,29.429998657340185,10.299999407492578,48.79999805055559,10.677972295595314,18.75202636174487,40.1079709529355,random
24,24,30.859998634131625,19.3499992582947,53.04999808082357,10.093755196623874,20.76624343750775,40.9537538307555,random
25,25,31.864998717373236,19.3499992582947,53.04999808082357,9.57603877998655,22.288959937386686,41.44103749735979,random
26,26,32.924998701363805,23.29999919701368,53.04999808082357,8.890029230033795,24.034969471330008,41.8150279313976,random
27,27,34.72999865184538,23.29999919701368,53.04999808082357,8.503005054606168,26.226993597239208,43.23300370645155,random
28,28,34.74499863688834,23.29999919701368,53.04999808082357,8.500071765043236,26.244926871845102,43.24507040193158,random
29,29,34.74499863688834,23.29999919701368,53.04999808082357,8.500071765043236,26.244926871845102,43.24507040193158,random
30,30,35.43499857741408,23.74999890429899,53.04999808082357,8.526606626181975,26.908391951232105,43.96160520359605,random
31,31,35.724998562783,23.74999890429899,55.74999808194116,9.083976032740496,26.641022530042505,44.808974595523495,random
32,32,37.60499850073829,26.24999889684841,55.74999808194116,9.459028532163483,28.145969968574807,47.06402703290178,random
33,33,38.46999853090383,26.9999990076758,55.74999808194116,9.66018091278907,28.80981761811476,48.130179443692896,random
34,34,38.4949985163752,27.249998862389475,55.74999808194116,9.6307435132705,28.864255003104695,48.1257420296457,random
35,35,38.86499848184176,28.34999891091138,55.74999808194116,9.228706384476475,29.636292097365285,48.093704866318234,random
36,36,38.91499848011881,28.34999891091138,55.74999808194116,9.20516276637622,29.709835713742592,48.12016124649503,random
37,37,40.88499835566618,28.34999891091138,56.649997965898365,9.58910940683952,31.295888948826658,50.474107762505696,random
38,38,41.44999835710041,28.34999891091138,56.649997965898365,9.028122431652312,32.4218759254481,50.478120788752726,random
39,39,41.65999830770306,28.399998522363603,56.649997965898365,9.138675806424226,32.52132250127884,50.79867411412729,random
