i          m          s         
0          -3.49      0.36      
1          -2.94      0.64      
2          -0.54      2.69      
3          1.00       3.39      
4          1.67       4.31      
5          2.71       4.69      
6          4.95       5.39      
7          6.29       6.93      
8          7.42       7.12      
9          7.50       7.05      
10         8.73       8.98      
11         9.31       8.82      
12         9.74       8.44      
13         10.09      8.35      
14         10.51      8.31      
15         10.54      8.28      
16         10.80      7.99      
17         11.06      7.80      
18         11.26      7.57      
19         11.70      7.27      
20         11.85      7.13      
21         12.44      7.18      
22         13.27      7.23      
23         13.28      7.22      
24         13.28      7.22      
25         13.32      7.18      
26         13.97      6.61      
27         14.27      6.59      
28         15.08      7.12      
29         15.42      6.85      
30         15.42      6.85      
31         15.42      6.85      
32         16.75      6.78      
33         18.15      6.95      
34         19.76      7.10      
35         20.44      7.74      
36         21.18      7.65      
37         21.90      7.48      
38         22.44      7.31      
39         22.44      7.31      
