i          m          s         
0          -3.55      0.14      
1          -2.75      2.08      
2          -2.74      2.08      
3          -2.72      2.07      
4          -0.52      8.42      
5          -0.51      8.42      
6          -0.49      8.41      
7          -0.46      8.40      
8          -0.45      8.40      
9          -0.45      8.40      
10         -0.09      9.05      
11         -0.07      9.05      
12         -0.03      9.03      
13         0.06       9.01      
14         0.07       9.00      
15         0.07       9.00      
16         0.07       9.00      
17         0.07       9.00      
18         0.07       9.00      
19         0.07       9.00      
20         0.13       8.98      
21         0.55       8.92      
22         0.55       8.92      
23         1.50       9.10      
24         1.50       9.10      
25         1.73       9.27      
26         1.73       9.27      
27         1.73       9.27      
28         1.78       9.24      
29         2.63       10.26     
30         2.63       10.26     
31         2.63       10.26     
32         2.63       10.26     
33         2.80       10.52     
34         4.33       13.58     
35         4.66       13.45     
36         4.70       13.42     
37         4.70       13.42     
38         4.70       13.42     
39         5.45       13.35     
