i          m          s         
0          -3.59      0.14      
1          -2.54      1.77      
2          -1.86      1.87      
3          -0.76      1.68      
4          2.46       5.50      
5          3.13       5.21      
6          5.92       6.38      
7          6.96       7.29      
8          8.14       7.58      
9          11.29      7.21      
10         13.21      7.09      
11         14.35      6.89      
12         15.68      7.66      
13         15.80      7.58      
14         15.80      7.58      
15         16.40      7.33      
16         16.57      7.50      
17         19.35      7.36      
18         19.35      7.36      
19         19.35      7.36      
20         20.03      7.53      
21         21.87      8.20      
22         22.96      8.25      
23         23.27      8.53      
24         23.70      7.90      
25         23.81      7.87      
26         23.88      7.78      
27         24.86      8.04      
28         25.51      8.39      
29         25.90      7.94      
30         27.63      8.28      
31         27.68      8.26      
32         28.19      8.40      
33         28.19      8.40      
34         30.04      9.53      
35         30.04      9.53      
36         30.34      9.67      
37         31.51      8.49      
38         32.58      7.91      
39         33.22      7.71      
