i          m          s         
0          -4.90      2.21      
1          -2.40      1.31      
2          0.16       2.72      
3          2.11       3.62      
4          4.82       4.89      
5          7.21       4.55      
6          9.23       5.55      
7          9.61       5.67      
8          12.03      8.26      
9          15.53      11.24     
10         16.16      11.03     
11         17.92      10.64     
12         18.14      10.62     
13         20.05      10.66     
14         21.44      9.85      
15         22.22      9.91      
16         22.58      9.91      
17         23.54      10.44     
18         24.43      9.51      
19         24.43      9.51      
20         25.04      9.44      
21         26.69      10.85     
22         28.38      10.57     
23         29.43      10.68     
24         30.86      10.09     
25         31.86      9.58      
26         32.92      8.89      
27         34.73      8.50      
28         34.74      8.50      
29         34.74      8.50      
30         35.43      8.53      
31         35.72      9.08      
32         37.60      9.46      
33         38.47      9.66      
34         38.49      9.63      
35         38.86      9.23      
36         38.91      9.21      
37         40.88      9.59      
38         41.45      9.03      
39         41.66      9.14      
