i          m          s         
0          -0.58      8.95      
1          1.53       11.10     
2          3.19       11.07     
3          5.05       10.96     
4          7.71       10.57     
5          8.85       10.53     
6          9.94       9.87      
7          10.36      9.85      
8          10.95      9.90      
9          11.47      9.97      
10         12.38      9.60      
11         14.73      9.43      
12         14.78      9.44      
13         14.93      9.32      
14         16.14      9.28      
15         16.18      9.28      
16         16.38      9.68      
17         16.66      9.49      
18         16.89      9.97      
19         17.34      10.15     
20         17.71      10.27     
21         18.43      11.66     
22         18.74      11.59     
23         18.74      11.59     
24         19.13      11.70     
25         19.17      11.72     
26         19.21      11.67     
27         19.21      11.67     
28         21.14      11.53     
29         22.25      11.81     
30         22.25      11.81     
31         22.76      11.76     
32         23.26      11.52     
33         23.45      11.53     
34         23.88      11.68     
35         25.72      10.73     
36         26.27      10.10     
37         26.27      10.10     
38         26.62      9.82      
39         26.62      9.82      
