i          m          s         
0          -3.59      0.17      
1          -1.28      3.64      
2          0.14       3.88      
3          4.48       7.59      
4          8.23       9.14      
5          9.16       8.66      
6          10.94      9.31      
7          11.51      9.06      
8          12.43      9.76      
9          12.97      10.17     
10         14.15      9.87      
11         14.82      9.22      
12         15.54      8.52      
13         15.91      8.25      
14         17.09      9.95      
15         17.13      9.91      
16         17.23      10.03     
17         17.55      9.90      
18         18.07      9.89      
19         18.62      10.32     
20         18.63      10.30     
21         18.63      10.30     
22         18.84      10.24     
23         19.83      10.15     
24         19.91      10.06     
25         20.71      10.83     
26         21.95      10.11     
27         22.21      10.17     
28         22.89      9.88      
29         23.23      9.69      
30         23.34      9.59      
31         24.21      9.28      
32         24.62      8.85      
33         24.62      8.85      
34         24.99      8.78      
35         26.57      8.45      
36         26.57      8.45      
37         27.08      8.63      
38         27.43      8.91      
39         28.51      9.66      
