i          m          s         
0          -2.79      1.94      
1          -0.94      3.30      
2          -0.86      3.25      
3          -0.83      3.22      
4          -0.82      3.22      
5          -0.81      3.21      
6          -0.80      3.20      
7          -0.77      3.18      
8          -0.77      3.18      
9          -0.77      3.18      
10         -0.77      3.18      
11         -0.29      3.21      
12         -0.29      3.21      
13         -0.29      3.21      
14         -0.29      3.21      
15         -0.29      3.21      
16         -0.24      3.17      
17         0.31       3.12      
18         0.31       3.12      
19         0.31       3.12      
20         0.31       3.12      
21         0.45       3.24      
22         0.45       3.24      
23         0.45       3.24      
24         0.45       3.24      
25         0.45       3.24      
26         0.78       3.72      
27         0.86       3.64      
28         0.86       3.64      
29         0.86       3.64      
30         0.99       3.88      
31         0.99       3.88      
32         1.00       3.87      
33         1.00       3.87      
34         1.00       3.87      
35         1.00       3.87      
36         1.00       3.87      
37         1.00       3.87      
38         1.27       4.43      
39         1.71       5.49      
