i          m          s         
0          -5.82      2.66      
1          -2.77      1.11      
2          -0.92      2.85      
3          1.36       4.03      
4          3.11       4.37      
5          5.07       4.15      
6          6.65       4.48      
7          7.29       4.72      
8          8.63       4.98      
9          10.03      5.42      
10         10.80      6.09      
11         12.64      6.38      
12         14.07      7.02      
13         14.42      7.30      
14         15.22      7.73      
15         16.59      8.33      
16         19.45      10.80     
17         21.66      10.86     
18         23.37      11.43     
19         24.91      12.31     
20         26.19      10.67     
21         26.56      11.09     
22         26.85      11.09     
23         27.42      11.54     
24         27.59      11.58     
25         28.59      12.23     
26         30.92      11.87     
27         32.54      10.83     
28         32.96      10.81     
29         34.03      11.12     
30         34.89      12.01     
31         35.27      11.86     
32         35.81      11.62     
33         36.53      11.93     
34         36.53      11.93     
35         38.17      13.07     
36         38.30      13.30     
37         38.48      13.27     
38         38.71      13.18     
39         38.90      13.25     
