i          m          s         
0          -4.11      0.49      
1          -2.85      0.86      
2          -0.35      5.20      
3          1.67       4.91      
4          3.72       5.22      
5          5.80       7.04      
6          7.47       7.94      
7          8.79       8.75      
8          9.54       9.11      
9          10.67      8.61      
10         13.83      11.11     
11         15.46      11.82     
12         16.92      11.28     
13         19.69      12.17     
14         21.39      11.81     
15         23.39      10.49     
16         24.42      10.33     
17         25.80      9.44      
18         26.26      9.58      
19         27.51      8.97      
20         28.35      8.60      
21         29.03      8.35      
22         30.61      9.70      
23         30.61      9.70      
24         31.41      9.18      
25         32.87      9.63      
26         33.47      9.93      
27         34.17      9.87      
28         36.56      7.18      
29         38.17      8.39      
30         39.32      9.32      
31         41.07      9.60      
32         41.48      9.37      
33         41.81      9.14      
34         41.81      9.14      
35         42.97      8.51      
36         43.39      9.14      
37         43.59      9.33      
38         43.64      9.33      
39         44.01      9.20      
