i          m          s         
0          -3.61      0.18      
1          -2.48      2.21      
2          2.73       9.88      
3          3.99       9.78      
4          4.94       9.33      
5          6.65       8.62      
6          9.21       8.80      
7          10.82      9.21      
8          14.01      10.78     
9          16.77      10.09     
10         16.77      10.09     
11         17.65      9.77      
12         19.76      10.69     
13         20.70      11.25     
14         22.01      10.00     
15         22.01      10.00     
16         22.01      10.00     
17         23.62      8.89      
18         24.20      8.78      
19         24.94      7.66      
20         25.41      7.32      
21         26.76      5.47      
22         27.03      5.40      
23         28.89      6.53      
24         29.58      5.34      
25         29.79      5.31      
26         29.79      5.31      
27         32.63      8.23      
28         32.63      8.23      
29         32.63      8.23      
30         32.63      8.23      
31         32.76      8.21      
32         32.83      8.15      
33         33.05      7.97      
34         33.27      7.96      
35         33.27      7.96      
36         33.27      7.96      
37         33.27      7.96      
38         33.99      7.52      
39         34.64      7.51      
