i          m          s         
0          -3.92      0.52      
1          -2.53      0.97      
2          -1.57      1.13      
3          -0.73      1.35      
4          0.51       2.11      
5          2.67       4.73      
6          3.73       5.81      
7          6.11       9.91      
8          6.30       9.87      
9          6.51       10.38     
10         6.52       10.37     
11         6.89       10.19     
12         8.02       11.71     
13         8.76       13.43     
14         9.74       15.85     
15         10.41      15.92     
16         12.42      15.93     
17         14.61      16.95     
18         14.77      17.06     
19         15.08      17.32     
20         15.18      17.53     
21         16.05      18.70     
22         16.11      18.76     
23         16.11      18.76     
24         16.13      18.78     
25         16.48      19.20     
26         16.48      19.20     
27         16.49      19.19     
28         16.67      19.33     
29         16.80      19.23     
30         17.36      19.57     
31         17.51      19.69     
32         17.84      19.52     
33         19.22      19.67     
34         19.73      19.81     
35         20.07      19.92     
36         20.07      19.92     
37         20.57      20.30     
38         20.80      20.41     
39         20.80      20.41     
