i          m          s         
0          -3.67      0.18      
1          -2.43      1.66      
2          0.14       3.39      
3          0.63       3.32      
4          1.87       3.39      
5          2.79       4.03      
6          3.91       5.32      
7          4.02       5.49      
8          4.02       5.49      
9          4.30       5.36      
10         4.37       5.49      
11         4.42       5.47      
12         6.58       7.38      
13         7.64       7.80      
14         8.50       7.98      
15         8.75       8.12      
16         8.76       8.14      
17         8.91       8.10      
18         9.36       8.74      
19         9.87       8.67      
20         10.06      8.70      
21         11.43      9.86      
22         11.95      10.49     
23         13.42      12.48     
24         13.60      12.71     
25         13.83      13.04     
26         15.02      14.72     
27         15.04      14.69     
28         15.26      14.59     
29         15.67      15.12     
30         15.70      15.09     
31         15.95      15.50     
32         16.22      15.24     
33         16.92      14.69     
34         17.15      14.48     
35         17.29      14.39     
36         17.32      14.43     
37         17.82      14.25     
38         18.39      14.11     
39         18.39      14.11     
