i          m          s         
0          -3.66      0.18      
1          -3.03      0.95      
2          -1.03      2.40      
3          1.18       4.58      
4          1.77       4.44      
5          3.42       4.79      
6          4.00       4.82      
7          4.90       4.44      
8          5.07       4.24      
9          7.53       4.98      
10         7.55       4.97      
11         7.91       4.65      
12         9.62       4.68      
13         10.35      4.30      
14         10.42      4.32      
15         10.79      4.40      
16         11.12      4.09      
17         11.69      3.46      
18         12.11      2.92      
19         13.34      2.95      
20         13.34      2.95      
21         13.34      2.95      
22         13.43      2.91      
23         13.43      2.91      
24         13.52      2.92      
25         14.13      3.28      
26         14.13      3.28      
27         14.28      3.45      
28         14.28      3.45      
29         14.28      3.45      
30         15.93      5.39      
31         16.32      5.83      
32         16.32      5.83      
33         17.31      6.16      
34         18.32      6.62      
35         20.38      5.61      
36         21.17      5.91      
37         21.48      6.25      
38         22.44      7.33      
39         22.44      7.33      
