solution_1,0,1,2,3,4,5,6,7,8,9
0,-3.3999999826774,-1.650000100955367,-0.900000146124512,16.399999167770147,29.79999858373776,42.349998275283724,44.59999813977629,56.04999778280035,55.89999793237075,53.39999817451462
1,-3.6999999955296516,-3.1999999741092324,-3.0999999698251486,6.949999573174864,24.649998982902616,44.84999850252643,42.44999827956781,48.19999845419079,56.749998008832335,49.74999836599454
2,-3.6999999955296516,-3.0999999698251486,-2.500000060070306,7.7499996474944055,27.799998691305518,40.84999848296866,43.949998227879405,51.34999816259369,57.0499979830347,47.399998497217894
3,-3.599999991245568,-3.1999999741092324,-2.9000000385567546,3.09999967738986,26.299998898990452,42.249998388346285,44.299998165573925,53.19999796990305,58.64999762363732,55.69999819714576
4,-3.7999999998137355,-3.1999999741092324,-2.8000000342726707,1.1999995573423803,24.699998985044658,33.24999865703285,48.949998291675,54.74999803910032,57.299997876398265,45.9999980838038
5,-4.300000021234155,-3.1999999741092324,-3.0999999698251486,-0.500000283587724,12.099999447353184,31.99999856343493,52.19999827770516,42.399998552165926,46.699998427182436,43.69999849051237
6,-5.75000008335337,-3.1999999741092324,-3.1999999741092324,1.099999669007957,0.4499997184611857,28.99999890010804,45.09999839589,56.899998132605106,32.49999870220199,38.99999859696254
7,-6.00000009406358,-3.7999999998137355,-3.599999991245568,-3.1500002811662853,-1.2500003157183528,17.699998914264143,12.849999363534153,54.69999811425805,42.29999842913821,47.19999825395644
8,-17.600000591017306,-14.800000509712845,-11.10000050580129,0.5999994156882167,12.049999327864498,9.099999589379877,12.099999408703297,35.99999846564606,48.59999827668071,14.09999930113554
9,,,,-15.25000068359077,-8.40000035148114,-8.600000398699194,-3.4000006755813956,-0.3000001977197826,-6.25000010477379,4.4999995469115674
