solution_1,0,1,2,3,4,5,6,7,8,9
0,-3.394999982463196,-1.7800000756047667,0.7849997830577194,11.404999370221049,19.964999124919995,28.074998808978126,32.69499862496741,36.42499855826609,37.45999850984663,41.78499839119613
1,-3.8300000010989605,-3.0899999809917063,-0.2900001429021358,4.534999627480284,14.789999280590564,24.604999004444107,26.804998905444517,28.724998923391105,35.56499856724404,38.31999849686399
2,-3.8100000002421437,-3.189999973680824,-1.1350001020822673,4.034999722568318,13.119999340176582,23.714998984802513,27.729998844722285,33.964998692367224,38.20999850374646,37.85999855473638
3,-3.990000007953495,-3.189999973680824,-0.36000019242055714,4.364999678451568,14.33499928014353,24.124999045999722,27.4499988517724,31.719998691556974,38.46999846464023,41.219998479634526
4,-4.105000012880192,-3.2599999766796826,-1.9700000836048275,2.964999602595344,9.14499948597513,23.90499895801768,30.304998762486502,32.659998728940266,39.49499847805127,37.5799985228572
5,-4.4000000255182385,-3.3099999826867132,-2.770000063907355,2.649999724375084,7.684999535093084,18.149999174289405,28.029998873593286,32.50999874197878,35.029998700181025,35.87999858185649
6,-4.925000048009679,-3.519999987818301,-2.4750000783242285,1.1599997724872082,3.829999666986987,13.589999384060501,25.08499901383184,30.669998829066753,33.75499867177568,33.709998704632746
7,-8.950000220444053,-4.670000040950254,-2.9000000115018336,-1.5750001359730958,1.6499997708480805,9.07999948374927,13.509999337559567,27.919998895935713,25.969998919777574,32.51999878934585
8,-19.68500068420544,-10.33500029137358,-4.655000063497573,-2.5050001105293633,-0.40000018626451495,3.7599996604025363,8.96499951747246,15.129999252781271,13.504999365098774,15.054999276902526
9,,-18.575000710086897,-14.292857663772468,-12.737500512972474,-7.600000251363963,-5.590000296523795,-4.285000159451738,-5.625000155298039,-6.525000162795186,-1.435000334121287
