Generation,Min,Mean,Max,Std
-1,-26.100001187063754,-20.45000075949356,-10.000000265426934,4.473980549724666
0,-37.050001772120595,-17.700000645546243,2.349999722559005,8.234091074882887
1,-48.90000193193555,-19.80166740096174,-1.2500001224689186,16.596262794310967
2,-30.55000157095492,-2.434166938144093,6.249999503139406,6.8465532799578295
3,-47.300002133939415,-5.695833727538896,8.14999950863421,13.065879290633262
4,-47.200002091005445,-7.7293338075047355,10.599999381694943,14.32993529773431
5,-50.30000199191272,-5.61750038585936,10.899999473243952,14.500675223270676
6,-47.90000212099403,0.014166241961841781,10.949999319389462,12.611423927093233
7,-49.10000194050372,0.5824995181600874,14.099999183788896,13.804512809134808
8,-47.75000207591802,0.6816662116674707,14.349999273195863,12.787207216500514
9,-47.45000194711611,-0.19250046376449367,14.649999286048114,13.238135819802336
10,-45.8000019537285,1.284999490583626,14.199999266769737,15.025939765954345
11,-27.35000112466514,5.393332841200754,13.699999361298978,9.992924446364206
12,-49.10000201780349,2.9099995060901467,13.699999322649091,13.870033253041187
13,-49.10000205645338,1.3933327943707505,15.299999197944999,14.646195587493706
14,-45.80000179912895,4.609999477948683,15.649999368935823,13.293099210138942
15,-43.95000191312283,5.906666175827073,14.949999260250479,10.807584074051354
16,-45.850001994520426,2.0508327511992928,15.749999138526618,15.735402201259811
17,-45.80000191507861,3.547499591259596,15.999999071937054,11.51948146920975
18,-47.30000186339021,1.7491661527038862,14.349999390542507,15.139117577204296
19,-49.700002004858106,1.3258327652079365,15.549999285954982,16.952149840779267
20,-47.70000188052654,1.170832821346509,15.9499991084449,14.882633512262514
21,-49.30000198772177,-0.6433338965599735,14.999999262392521,17.416172093863086
22,-43.50000181654468,3.5383328199153765,16.14999923435971,12.663018376665013
23,-48.25000205868855,1.9808327694578718,14.699999288190156,14.412784134352627
24,-48.50000191479921,2.4033327953579526,15.799999063368887,14.424128919998616
25,-35.90000168280676,4.207499399028408,15.399999279528856,13.158352485237108
26,-26.80000098515302,5.145832821377553,15.799999219365418,10.754178677754796
27,-40.60000180825591,3.2624994755489753,15.3999993968755,12.432121256118773
28,-33.40000126790255,5.064999478667354,15.449999281670898,10.916040607382902
29,-48.6000019190833,4.072499424188087,16.549999408889562,14.687893299468787
30,-42.50000165775418,3.6541661659876508,14.299999427050352,12.01808471330082
31,-49.000002013519406,6.290832732447113,16.549999174196273,12.87350492357319
32,-47.500001987908036,0.1991660399440055,14.79999929247424,16.621546286979466
33,-43.300001692026854,4.5991661436002085,16.54999925289303,11.84985416374376
34,-49.35000198986381,-0.24750060882264127,15.349999121390283,15.549235099370103
35,-43.5000018151477,2.1899994026403875,15.049999264534563,14.71012376054457
36,-47.60000210814178,3.252499348499502,14.849999294616282,14.648354652517172
37,-37.60000148648396,2.62333279622253,17.34999913116917,13.101019403091753
38,-43.20000176504254,-5.6900004894007,13.699999322649091,14.183079468919681
39,-42.800001670606434,-4.429167214067032,12.549999271985143,15.34648824331746
