solution_1,0,1,2,3,4,5,6,7,8,9
0,-3.881250003616636,-3.029166660190094,-2.536250022651317,-2.17208337255676,0.137916521623265,1.82041644063623,3.6729163722717204,3.5624997069360687,1.9249997889079775,4.261603864018495
1,-8.422457828565296,-3.2166666524407144,-2.8033333394055564,-2.5916666881375323,-1.359583407799558,-0.09118763933656737,0.1958331792227303,0.317226724159129,-0.5593221414187071,1.3337498091394082
2,-8.110833522980101,-3.266249982744921,-2.880416669277474,-2.7425000128064614,-1.2075000969266207,-0.6512501165309611,0.31458317012681314,1.2208331223810092,0.44070816539072744,1.7116664455272257
3,-7.612083499358657,-3.372083318035584,-3.1637499867278773,-2.8295833414963756,-1.6054167388395095,-0.7316667811324199,0.24708317268717414,0.6941664801871714,0.43291649953462186,2.2191664196473235
4,-7.012083473332071,-3.5174999918982697,-3.1608333260558235,-2.818750010919757,-2.09958338579551,-1.0400001080861936,0.28208316673214234,0.1787498293405709,1.3995831085407795,2.8359580603816235
5,-8.94791689281895,-4.32875002536457,-3.438333331502508,-3.107916662597563,-1.9583333980912963,-1.2700000951183028,-0.5791668048283706,-0.21596653808784835,0.6974998040124774,3.254583035968244
6,-12.517917052202392,-6.186250108484334,-3.821250026168612,-3.4670833430291776,-2.5362500508781523,-1.9645834134852824,-1.0433334431028924,-0.8375001247623004,1.4295831141178497,1.6416664382015975
7,-17.510833935024372,-10.20750028686598,-5.790416764634816,-5.356250089663081,-3.7333334126626143,-3.4704167283140124,-2.772500091298328,-2.3387501080869697,-1.351250114943832,-0.44583350110721465
8,-23.462195983906163,-16.051667202302877,-11.128333669621497,-8.852083576602551,-7.629583532293327,-6.452083511790261,-5.875833478096562,-6.605000187584665,-4.190416804538108,-3.9445835104794242
9,,-19.65200068820268,-17.671000638091936,-16.698052530043892,-15.35174470318503,-14.153165034053824,-12.645238495138031,-13.54784990179663,-13.6175536398548,-11.47446845970711
