solution_1,0,1,2,3,4,5,6,7,8,9
0,-4.274166687116182,-3.0579166620659333,-2.2362500384061907,-1.8133334009442479,-1.187916760200945,-1.311666760741112,-1.6058334213177052,-0.7925001083756797,-1.9258333886585508,-1.6050000711887453
1,-10.01932800319359,-3.225416652493489,-2.9774999974295495,-2.666250016303578,-2.2945833732723258,-1.8366667368643297,-1.9370834010342757,-1.2658334156420703,-2.5258474791012073,-1.537083413482954
2,-8.118750189663842,-3.2491666506122177,-3.075833327889753,-2.7245833508476305,-2.530416693841107,-2.0025000589550475,-1.56291676039109,-1.1433334299945273,-2.1747899626718223,-1.373750077878746
3,-6.876666805349911,-3.3583333164802753,-3.056666662656547,-2.6654166870983316,-2.164583383737287,-2.013333403680008,-1.7754167477328642,-1.2079167638750126,-2.173750067257788,-1.4875000847658764
4,-7.768333506052538,-3.4374999849280963,-3.1049999929072025,-2.8604166777610467,-2.416666699608322,-2.032083396384648,-1.7579167653418457,-1.0891667784114059,-1.558750076200037,-0.9916667638812214
5,-9.13708356951053,-4.274583354766946,-3.3574999934178775,-3.0645833402794476,-2.495000035630073,-2.4783333698598047,-2.067500067859267,-0.8308334671271344,-1.582500092460153,-1.5187500932021067
6,-12.376250382664148,-6.34083344618557,-3.8837500098433035,-3.3683333381661216,-2.912083361422022,-2.6526667103442985,-2.041250065434724,-2.117083418373174,-1.512916756052679,-1.508333431207575
7,-17.26208392114689,-10.473333631599477,-6.760416798460453,-4.420416728154911,-3.7050000504862206,-3.423750026842269,-2.905416731808024,-2.300416744147272,-2.6658334084553643,-2.302916740435952
8,-23.290580561195593,-16.010417201501937,-11.7250003583186,-8.212083545998516,-6.7645001583732665,-5.8187501310448475,-4.901666785741691,-5.703333440131973,-6.2387501792322535,-4.010833449626807
9,-21.350000790320337,-25.950000987388194,-17.6339628740987,-15.486420289343108,-14.98520457795441,-13.649528773576197,-13.27741979969345,-12.592187900634599,-12.673369987604573,-12.82833373495895
