row       col       value     
0         0         -3.5      
0         1         -3.1      
0         2         -1.15     
0         3         4.7       
0         4         8.55      
0         5         24.0      
0         6         31.2      
0         7         34.9      
0         8         36.5      
0         9         36.35     
1         0         -3.8      
1         1         -3.3      
1         2         -2.8      
1         3         -1.849e-07
1         4         3.5       
1         5         9.65      
1         6         25.7      
1         7         20.7      
1         8         22.7      
1         9         20.5      
2         0         -3.7      
2         1         -3.3      
2         2         -3.2      
2         3         0.65      
2         4         5.4       
2         5         7.1       
2         6         14.25     
2         7         19.15     
2         8         20.1      
2         9         19.2      
3         0         -3.9      
3         1         -3.3      
3         2         -2.15     
3         3         3.05      
3         4         1.9       
3         5         6.0       
3         6         11.05     
3         7         11.0      
3         8         6.65      
3         9         4.8       
4         0         -3.8      
4         1         -3.3      
4         2         -3.2      
4         3         2.2       
4         4         -2.7      
4         5         4.65      
4         6         -2.25     
4         7         -3.3      
4         8         -3.8      
4         9         0.5       
5         0         -4.4      
5         1         -3.5      
5         2         -4.0      
5         3         -3.3      
5         4         -3.1      
5         5         -1.45     
5         6         -3.25     
5         7         nan       
5         8         -24.3     
5         9         -3.0      
6         0         -4.1      
6         1         -4.1      
6         2         -5.8      
6         3         -4.7      
6         4         -3.6      
6         5         -9.95     
6         6         -18.2     
6         7         -26.6     
6         8         nan       
6         9         -21.6     
7         0         -8.05     
7         1         -13.45    
7         2         -14.95    
7         3         -11.4     
7         4         -18.6     
7         5         -17.7     
7         6         -16.35    
7         7         nan       
7         8         nan       
7         9         -9.95     
8         0         -19.1     
8         1         -19.0     
8         2         -15.6     
8         3         -13.5     
8         4         -17.15    
8         5         -17.5     
8         6         -16.2     
8         7         -17.6     
8         8         nan       
8         9         nan       
9         0         nan       
9         1         nan       
9         2         nan       
9         3         nan       
9         4         -17.0     
9         5         -17.25    
9         6         -17.7     
9         7         -19.1     
9         8         nan       
9         9         -21.8     
