row       col       value     
0         0         -3.37     
0         1         -1.85     
0         2         1.775     
0         3         10.19     
0         4         17.68     
0         5         24.85     
0         6         27.86     
0         7         29.78     
0         8         29.7      
0         9         32.24     
1         0         -3.765    
1         1         -3.05     
1         2         0.43      
1         3         4.61      
1         4         16.62     
1         5         23.38     
1         6         27.61     
1         7         28.34     
1         8         25.44     
1         9         31.35     
2         0         -3.98     
2         1         -3.12     
2         2         0.215     
2         3         4.595     
2         4         13.42     
2         5         22.66     
2         6         25.28     
2         7         29.14     
2         8         25.02     
2         9         32.34     
3         0         -4.0      
3         1         -3.165    
3         2         -0.16     
3         3         3.455     
3         4         11.96     
3         5         21.45     
3         6         28.15     
3         7         29.18     
3         8         28.77     
3         9         32.2      
4         0         -4.255    
4         1         -3.275    
4         2         -1.455    
4         3         2.87      
4         4         13.38     
4         5         19.17     
4         6         26.12     
4         7         27.58     
4         8         26.88     
4         9         31.39     
5         0         -4.22     
5         1         -3.355    
5         2         -1.96     
5         3         1.275     
5         4         7.85      
5         5         17.26     
5         6         27.11     
5         7         26.03     
5         8         25.62     
5         9         32.82     
6         0         -4.895    
6         1         -3.43     
6         2         -2.395    
6         3         1.01      
6         4         4.82      
6         5         13.29     
6         6         22.84     
6         7         23.46     
6         8         24.8      
6         9         29.83     
7         0         -9.665    
7         1         -4.425    
7         2         -2.995    
7         3         0.455     
7         4         3.27      
7         5         9.61      
7         6         10.52     
7         7         20.02     
7         8         19.01     
7         9         28.43     
8         0         -20.23    
8         1         -11.03    
8         2         -3.65     
8         3         -2.34     
8         4         -0.435    
8         5         0.59      
8         6         6.23      
8         7         6.25      
8         8         12.48     
8         9         13.46     
9         0         nan       
9         1         -19.43    
9         2         -14.84    
9         3         -8.672    
9         4         -5.828    
9         5         -6.745    
9         6         -3.915    
9         7         -3.27     
9         8         -1.555    
9         9         -2.275    
