solution_1,0,1,2,3,4,5,6,7,8,9
0,-3.419999983534217,-1.795000068517402,1.2649997456464916,11.474999470962212,25.129998984280974,26.869998814631252,29.39499876932241,34.08999864719808,33.32499864106067,34.344998587993906
1,-3.7999999998137355,-2.964999983366579,-0.3450001494027674,6.154999585216865,15.424999230494723,24.854998964769766,24.059998938441275,32.40499865906313,32.609998629055916,32.939998659212144
2,-3.7549999978858977,-3.139999983133748,-1.015000143321231,4.044999652868137,16.65499922176823,22.72999898069538,28.134998835017903,31.779998628003522,33.239998657023534,35.50999857275747
3,-3.965000006882474,-3.12999998270534,-1.020000108750537,2.5149997495114804,17.05499926651828,18.574999196780844,27.784998862678187,31.284998672362416,31.78499866700731,36.18499853597022
4,-4.085000012023374,-3.1999999741092324,-1.7450000547803939,4.279999597370624,10.58999940501526,20.189999099634587,23.489998924219982,30.004998667770998,28.759998800372706,32.91499868948013
5,-4.435000027017668,-3.2999999783933163,-2.2100000515114515,3.1699997121468186,11.055749356094747,19.994999118335546,25.669998929835856,25.15999891157262,28.854998800298198,34.204998632660136
6,-5.530000073928386,-3.3399999839719383,-2.725000004004687,1.8599997639656067,9.129999469872564,11.774999290425331,21.20999898086302,25.05499892667867,28.7099988211412,29.769998773932457
7,-8.925000230968,-4.8900000465102496,-3.009999993024394,-0.3050001398194581,5.7999996555969116,9.054999474529177,19.044999069347977,23.414998995140195,20.719999146368355,25.934998953482136
8,-19.49500068379566,-11.170000342605636,-3.454999988898635,-2.3000000359024853,-0.7350001233164221,1.334999730018899,6.749999510496854,15.634999200841412,12.8099993001204,17.64499914436601
9,,-11.275000320049003,-10.406250321480911,-9.6055558770895,-8.105000249668956,-7.060000181989745,-1.160000245599076,0.1799996997229755,-1.2850002394989133,0.8499997204169631
