row       col       value     
0         0         -3.913    
0         1         -3.082    
0         2         -2.575    
0         3         -1.653    
0         4         0.2379    
0         5         0.1483    
0         6         1.687     
0         7         2.589     
0         8         1.88      
0         9         1.742     
1         0         -10.25    
1         1         -3.257    
1         2         -2.968    
1         3         -2.373    
1         4         -1.691    
1         5         -1.382    
1         6         -0.2967   
1         7         0.255     
1         8         -0.3142   
1         9         0.8267    
2         0         -8.268    
2         1         -3.297    
2         2         -3.041    
2         3         -2.505    
2         4         -1.74     
2         5         -1.562    
2         6         -0.4963   
2         7         0.2317    
2         8         0.36      
2         9         1.139     
3         0         -8.084    
3         1         -3.367    
3         2         -3.075    
3         3         -2.561    
3         4         -2.018    
3         5         -1.25     
3         6         -0.0975   
3         7         0.8833    
3         8         0.1633    
3         9         0.8454    
4         0         -8.179    
4         1         -3.506    
4         2         -3.106    
4         3         -2.859    
4         4         -1.998    
4         5         -1.796    
4         6         -0.5125   
4         7         0.6425    
4         8         -0.1625   
4         9         0.5421    
5         0         -9.237    
5         1         -4.353    
5         2         -3.369    
5         3         -2.938    
5         4         -2.456    
5         5         -2.053    
5         6         -0.98     
5         7         -0.4783   
5         8         -0.7221   
5         9         -0.145    
6         0         -12.06    
6         1         -6.868    
6         2         -4.605    
6         3         -3.356    
6         4         -2.82     
6         5         -2.631    
6         6         -2.091    
6         7         -1.191    
6         8         -2.155    
6         9         -0.5721   
7         0         -17.27    
7         1         -10.89    
7         2         -7.003    
7         3         -5.192    
7         4         -3.914    
7         5         -3.448    
7         6         -2.575    
7         7         -2.293    
7         8         -2.655    
7         9         -1.766    
8         0         -22.8     
8         1         -16.2     
8         2         -12.64    
8         3         -9.417    
8         4         -7.263    
8         5         -7.016    
8         6         -6.677    
8         7         -5.096    
8         8         -5.545    
8         9         -5.731    
9         0         nan       
9         1         -21.07    
9         2         -19.99    
9         3         -17.0     
9         4         -14.65    
9         5         -15.22    
9         6         -14.22    
9         7         -14.39    
9         8         -15.23    
9         9         -13.64    
