row       col       value     
0         0         -3.8      
0         1         -1.95     
0         2         0.35      
0         3         0.3       
0         4         18.8      
0         5         22.3      
0         6         25.55     
0         7         28.2      
0         8         22.3      
0         9         22.5      
1         0         -5.0      
1         1         -3.2      
1         2         -3.2      
1         3         0.8       
1         4         6.55      
1         5         17.5      
1         6         16.3      
1         7         7.0       
1         8         9.9       
1         9         27.35     
2         0         -12.25    
2         1         -3.2      
2         2         -3.3      
2         3         -2.6      
2         4         10.1      
2         5         12.95     
2         6         16.5      
2         7         16.1      
2         8         11.9      
2         9         12.9      
3         0         -21.1     
3         1         -3.4      
3         2         -3.3      
3         3         -3.3      
3         4         14.85     
3         5         17.1      
3         6         21.2      
3         7         16.75     
3         8         18.6      
3         9         21.7      
4         0         -7.1      
4         1         -3.45     
4         2         -1.9      
4         3         -2.7      
4         4         22.95     
4         5         3.8       
4         6         15.95     
4         7         17.55     
4         8         17.2      
4         9         15.3      
5         0         -18.0     
5         1         -4.3      
5         2         -3.2      
5         3         -0.75     
5         4         22.4      
5         5         14.45     
5         6         4.2       
5         7         16.75     
5         8         14.6      
5         9         15.45     
6         0         -13.9     
6         1         -10.6     
6         2         -9.6      
6         3         12.2      
6         4         -1.0      
6         5         -1.4      
6         6         -1.8      
6         7         20.95     
6         8         9.4       
6         9         10.9      
7         0         -21.4     
7         1         -12.8     
7         2         -8.0      
7         3         -0.1      
7         4         3.75      
7         5         9.85      
7         6         -1.9      
7         7         9.0       
7         8         10.05     
7         9         17.1      
8         0         -25.1     
8         1         -14.35    
8         2         -10.5     
8         3         -12.9     
8         4         -1.0      
8         5         -2.55     
8         6         -2.35     
8         7         -1.65     
8         8         1.75      
8         9         -5.4      
9         0         nan       
9         1         nan       
9         2         -24.15    
9         3         nan       
9         4         -15.3     
9         5         -9.9      
9         6         nan       
9         7         nan       
9         8         nan       
9         9         nan       
