row       col       value     
0         0         -3.7      
0         1         -3.3      
0         2         -0.6      
0         3         -0.6      
0         4         0.3       
0         5         2.85      
0         6         7.8       
0         7         31.7      
0         8         30.35     
0         9         33.25     
1         0         -4.9      
1         1         -3.4      
1         2         -0.7      
1         3         -0.65     
1         4         1.4       
1         5         20.95     
1         6         4.2       
1         7         22.6      
1         8         31.62     
1         9         20.8      
2         0         -24.8     
2         1         -3.3      
2         2         -1.8      
2         3         -2.1      
2         4         0.9       
2         5         18.55     
2         6         11.8      
2         7         25.9      
2         8         34.65     
2         9         17.0      
3         0         -14.85    
3         1         -3.3      
3         2         -3.3      
3         3         -1.0      
3         4         -0.2      
3         5         8.1       
3         6         15.95     
3         7         36.35     
3         8         14.4      
3         9         31.6      
4         0         -9.55     
4         1         -3.3      
4         2         -2.9      
4         3         -3.0      
4         4         1.95      
4         5         0.05      
4         6         0.65      
4         7         16.7      
4         8         17.35     
4         9         39.4      
5         0         -13.6     
5         1         -3.4      
5         2         -3.0      
5         3         -1.9      
5         4         0.1       
5         5         -0.85     
5         6         3.45      
5         7         0.45      
5         8         25.95     
5         9         25.5      
6         0         -19.1     
6         1         -16.45    
6         2         -8.0      
6         3         -3.1      
6         4         -3.3      
6         5         -3.1      
6         6         4.9       
6         7         4.35      
6         8         3.55      
6         9         29.65     
7         0         -19.1     
7         1         -15.4     
7         2         -10.8     
7         3         -6.1      
7         4         -5.2      
7         5         -4.35     
7         6         4.5       
7         7         3.3       
7         8         7.75      
7         9         16.4      
8         0         -23.15    
8         1         -19.3     
8         2         -14.2     
8         3         -16.05    
8         4         -12.35    
8         5         nan       
8         6         -16.1     
8         7         -9.7      
8         8         7.6       
8         9         6.25      
9         0         nan       
9         1         nan       
9         2         nan       
9         3         nan       
9         4         nan       
9         5         nan       
9         6         -15.4     
9         7         nan       
9         8         nan       
9         9         nan       
