row       col       value     
0         0         -4.39     
0         1         -3.034    
0         2         -2.464    
0         3         -1.244    
0         4         1.952     
0         5         6.237     
0         6         8.002     
0         7         10.29     
0         8         11.61     
0         9         14.68     
1         0         -11.63    
1         1         -3.227    
1         2         -2.787    
1         3         -2.102    
1         4         -0.2117   
1         5         1.38      
1         6         3.244     
1         7         3.792     
1         8         6.111     
1         9         10.97     
2         0         -9.962    
2         1         -3.254    
2         2         -2.964    
2         3         -1.888    
2         4         -0.6088   
2         5         2.425     
2         6         3.463     
2         7         5.897     
2         8         7.413     
2         9         11.37     
3         0         -9.057    
3         1         -3.279    
3         2         -3.042    
3         3         -2.348    
3         4         -0.9517   
3         5         1.085     
3         6         2.87      
3         7         4.539     
3         8         7.445     
3         9         9.746     
4         0         -9.412    
4         1         -3.798    
4         2         -3.113    
4         3         -2.622    
4         4         -1.762    
4         5         0.3087    
4         6         1.502     
4         7         2.025     
4         8         5.142     
4         9         10.1      
5         0         -11.04    
5         1         -5.096    
5         2         -3.547    
5         3         -3.021    
5         4         -1.556    
5         5         -1.438    
5         6         0.4167    
5         7         1.511     
5         8         2.885     
5         9         7.146     
6         0         -13.48    
6         1         -10.53    
6         2         -5.513    
6         3         -4.13     
6         4         -2.512    
6         5         -1.669    
6         6         -1.821    
6         7         -0.7523   
6         8         0.6282    
6         9         3.617     
7         0         -18.14    
7         1         -15.85    
7         2         -10.87    
7         3         -8.113    
7         4         -6.538    
7         5         -5.125    
7         6         -3.977    
7         7         -3.37     
7         8         -3.092    
7         9         -0.07417  
8         0         -23.4     
8         1         -21.17    
8         2         -17.98    
8         3         -15.52    
8         4         -13.45    
8         5         -13.63    
8         6         -11.84    
8         7         -12.15    
8         8         -12.94    
8         9         -10.19    
9         0         nan       
9         1         -23.02    
9         2         -22.08    
9         3         -21.15    
9         4         -20.16    
9         5         -19.21    
9         6         -18.35    
9         7         -18.08    
9         8         -18.86    
9         9         -16.59    
