row       col       value     
0         0         -3.881    
0         1         -3.029    
0         2         -2.536    
0         3         -2.172    
0         4         0.1379    
0         5         1.82      
0         6         3.673     
0         7         3.562     
0         8         1.925     
0         9         4.262     
1         0         -8.422    
1         1         -3.217    
1         2         -2.803    
1         3         -2.592    
1         4         -1.36     
1         5         -0.09119  
1         6         0.1958    
1         7         0.3172    
1         8         -0.5593   
1         9         1.334     
2         0         -8.111    
2         1         -3.266    
2         2         -2.88     
2         3         -2.743    
2         4         -1.208    
2         5         -0.6513   
2         6         0.3146    
2         7         1.221     
2         8         0.4407    
2         9         1.712     
3         0         -7.612    
3         1         -3.372    
3         2         -3.164    
3         3         -2.83     
3         4         -1.605    
3         5         -0.7317   
3         6         0.2471    
3         7         0.6942    
3         8         0.4329    
3         9         2.219     
4         0         -7.012    
4         1         -3.517    
4         2         -3.161    
4         3         -2.819    
4         4         -2.1      
4         5         -1.04     
4         6         0.2821    
4         7         0.1787    
4         8         1.4       
4         9         2.836     
5         0         -8.948    
5         1         -4.329    
5         2         -3.438    
5         3         -3.108    
5         4         -1.958    
5         5         -1.27     
5         6         -0.5792   
5         7         -0.216    
5         8         0.6975    
5         9         3.255     
6         0         -12.52    
6         1         -6.186    
6         2         -3.821    
6         3         -3.467    
6         4         -2.536    
6         5         -1.965    
6         6         -1.043    
6         7         -0.8375   
6         8         1.43      
6         9         1.642     
7         0         -17.51    
7         1         -10.21    
7         2         -5.79     
7         3         -5.356    
7         4         -3.733    
7         5         -3.47     
7         6         -2.773    
7         7         -2.339    
7         8         -1.351    
7         9         -0.4458   
8         0         -23.46    
8         1         -16.05    
8         2         -11.13    
8         3         -8.852    
8         4         -7.63     
8         5         -6.452    
8         6         -5.876    
8         7         -6.605    
8         8         -4.19     
8         9         -3.945    
9         0         nan       
9         1         -19.65    
9         2         -17.67    
9         3         -16.7     
9         4         -15.35    
9         5         -14.15    
9         6         -12.65    
9         7         -13.55    
9         8         -13.62    
9         9         -11.47    
