row       col       value     
0         0         -3.42     
0         1         -2.325    
0         2         -0.89     
0         3         3.825     
0         4         9.34      
0         5         14.17     
0         6         15.72     
0         7         17.13     
0         8         17.69     
0         9         18.03     
1         0         -3.77     
1         1         -4.35     
1         2         -3.095    
1         3         -2.155    
1         4         0.16      
1         5         2.425     
1         6         2.545     
1         7         5.856     
1         8         5.483     
1         9         5.544     
2         0         -4.04     
2         1         -3.96     
2         2         -3.56     
2         3         -2.455    
2         4         -0.545    
2         5         0.38      
2         6         1.315     
2         7         3.878     
2         8         4.7       
2         9         3.95      
3         0         -4.05     
3         1         -4.575    
3         2         -6.79     
3         3         -2.625    
3         4         -2.815    
3         5         0.4278    
3         6         -1.194    
3         7         -1.8      
3         8         -0.3667   
3         9         -3.472    
4         0         -4.13     
4         1         -5.6      
4         2         -6.345    
4         3         -4.19     
4         4         -6.365    
4         5         -2.39     
4         6         -5.7      
4         7         -5.32     
4         8         -6.536    
4         9         -5.313    
5         0         -4.535    
5         1         -6.93     
5         2         -7.995    
5         3         -7.515    
5         4         -8.425    
5         5         -6.29     
5         6         -6.49     
5         7         -9.994    
5         8         -18.19    
5         9         -10.05    
6         0         -5.62     
6         1         -10.3     
6         2         -8.53     
6         3         -8.41     
6         4         -11.47    
6         5         -10.72    
6         6         -10.41    
6         7         -13.23    
6         8         -19.46    
6         9         -18.55    
7         0         -10.78    
7         1         -13.97    
7         2         -13.1     
7         3         -13.55    
7         4         -14.37    
7         5         -16.55    
7         6         -15.5     
7         7         -14.36    
7         8         -18.77    
7         9         -12.48    
8         0         -20.35    
8         1         -19.74    
8         2         -17.98    
8         3         -15.56    
8         4         -14.94    
8         5         -16.43    
8         6         -15.71    
8         7         -15.68    
8         8         -15.61    
8         9         -13.8     
9         0         nan       
9         1         nan       
9         2         nan       
9         3         -19.2     
9         4         -17.0     
9         5         -16.28    
9         6         -18.2     
9         7         -17.4     
9         8         nan       
9         9         -16.72    
