row       col       value     
0         0         -3.42     
0         1         -1.795    
0         2         1.265     
0         3         11.47     
0         4         25.13     
0         5         26.87     
0         6         29.39     
0         7         34.09     
0         8         33.32     
0         9         34.34     
1         0         -3.8      
1         1         -2.965    
1         2         -0.345    
1         3         6.155     
1         4         15.42     
1         5         24.85     
1         6         24.06     
1         7         32.4      
1         8         32.61     
1         9         32.94     
2         0         -3.755    
2         1         -3.14     
2         2         -1.015    
2         3         4.045     
2         4         16.65     
2         5         22.73     
2         6         28.13     
2         7         31.78     
2         8         33.24     
2         9         35.51     
3         0         -3.965    
3         1         -3.13     
3         2         -1.02     
3         3         2.515     
3         4         17.05     
3         5         18.57     
3         6         27.78     
3         7         31.28     
3         8         31.78     
3         9         36.18     
4         0         -4.085    
4         1         -3.2      
4         2         -1.745    
4         3         4.28      
4         4         10.59     
4         5         20.19     
4         6         23.49     
4         7         30.0      
4         8         28.76     
4         9         32.91     
5         0         -4.435    
5         1         -3.3      
5         2         -2.21     
5         3         3.17      
5         4         11.06     
5         5         19.99     
5         6         25.67     
5         7         25.16     
5         8         28.85     
5         9         34.2      
6         0         -5.53     
6         1         -3.34     
6         2         -2.725    
6         3         1.86      
6         4         9.13      
6         5         11.77     
6         6         21.21     
6         7         25.05     
6         8         28.71     
6         9         29.77     
7         0         -8.925    
7         1         -4.89     
7         2         -3.01     
7         3         -0.305    
7         4         5.8       
7         5         9.055     
7         6         19.04     
7         7         23.41     
7         8         20.72     
7         9         25.93     
8         0         -19.5     
8         1         -11.17    
8         2         -3.455    
8         3         -2.3      
8         4         -0.735    
8         5         1.335     
8         6         6.75      
8         7         15.63     
8         8         12.81     
8         9         17.64     
9         0         nan       
9         1         -11.28    
9         2         -10.41    
9         3         -9.606    
9         4         -8.105    
9         5         -7.06     
9         6         -1.16     
9         7         0.18      
9         8         -1.285    
9         9         0.85      
