row       col       value     
0         0         -4.246    
0         1         -3.027    
0         2         -2.516    
0         3         -0.4813   
0         4         1.857     
0         5         4.049     
0         6         6.896     
0         7         9.001     
0         8         10.56     
0         9         10.91     
1         0         -10.8     
1         1         -3.251    
1         2         -2.806    
1         3         -2.3      
1         4         -0.7004   
1         5         0.54      
1         6         1.563     
1         7         4.858     
1         8         6.667     
1         9         7.562     
2         0         -9.281    
2         1         -3.232    
2         2         -2.99     
2         3         -2.081    
2         4         -0.5042   
2         5         0.8604    
2         6         2.53      
2         7         3.855     
2         8         5.927     
2         9         7.583     
3         0         -8.846    
3         1         -3.29     
3         2         -3.023    
3         3         -2.173    
3         4         -1.387    
3         5         0.6192    
3         6         2.381     
3         7         3.733     
3         8         5.742     
3         9         8.732     
4         0         -8.534    
4         1         -3.602    
4         2         -3.097    
4         3         -2.139    
4         4         -1.358    
4         5         -0.0002085
4         6         0.5629    
4         7         3.641     
4         8         4.896     
4         9         7.243     
5         0         -10.18    
5         1         -4.942    
5         2         -3.493    
5         3         -2.758    
5         4         -1.672    
5         5         -1.249    
5         6         -0.4842   
5         7         1.492     
5         8         1.961     
5         9         5.061     
6         0         -13.59    
6         1         -9.036    
6         2         -4.669    
6         3         -3.797    
6         4         -3.167    
6         5         -3.028    
6         6         -2.335    
6         7         -0.8321   
6         8         -1.057    
6         9         2.433     
7         0         -18.69    
7         1         -14.83    
7         2         -10.33    
7         3         -8.461    
7         4         -6.858    
7         5         -5.706    
7         6         -5.482    
7         7         -4.554    
7         8         -4.687    
7         9         -2.153    
8         0         -23.24    
8         1         -21.7     
8         2         -17.83    
8         3         -15.81    
8         4         -13.34    
8         5         -13.94    
8         6         -13.49    
8         7         -13.93    
8         8         -13.45    
8         9         -10.41    
9         0         nan       
9         1         -20.67    
9         2         -21.31    
9         3         -19.17    
9         4         -17.88    
9         5         -21.21    
9         6         -18.02    
9         7         -13.81    
9         8         -18.38    
9         9         -17.44    
