row       col       value     
0         0         -3.9      
0         1         -2.25     
0         2         -1.6      
0         3         -1.65     
0         4         26.9      
0         5         23.6      
0         6         26.4      
0         7         28.75     
0         8         26.9      
0         9         22.45     
1         0         -4.2      
1         1         -3.0      
1         2         -2.6      
1         3         -2.0      
1         4         20.1      
1         5         14.35     
1         6         21.55     
1         7         23.45     
1         8         25.3      
1         9         25.65     
2         0         -8.1      
2         1         -3.4      
2         2         -3.0      
2         3         -4.5      
2         4         27.1      
2         5         24.7      
2         6         23.75     
2         7         24.7      
2         8         24.25     
2         9         28.9      
3         0         -14.45    
3         1         -3.8      
3         2         -3.1      
3         3         -3.1      
3         4         25.5      
3         5         14.45     
3         6         23.55     
3         7         24.15     
3         8         34.15     
3         9         34.15     
4         0         -11.95    
4         1         -3.4      
4         2         -3.3      
4         3         -3.05     
4         4         14.5      
4         5         4.25      
4         6         17.15     
4         7         24.4      
4         8         24.55     
4         9         24.5      
5         0         -12.1     
5         1         -3.4      
5         2         -3.3      
5         3         -3.3      
5         4         10.9      
5         5         23.5      
5         6         21.65     
5         7         23.9      
5         8         23.2      
5         9         24.8      
6         0         -17.3     
6         1         -3.3      
6         2         -3.4      
6         3         -3.5      
6         4         1.1       
6         5         20.95     
6         6         11.0      
6         7         2.7       
6         8         18.95     
6         9         33.15     
7         0         -22.6     
7         1         -4.4      
7         2         -5.95     
7         3         -7.5      
7         4         5.55      
7         5         2.25      
7         6         16.8      
7         7         1.3       
7         8         -1.4      
7         9         -0.95     
8         0         nan       
8         1         -19.4     
8         2         -14.0     
8         3         -5.8      
8         4         -7.95     
8         5         -7.45     
8         6         -3.2      
8         7         -3.2      
8         8         -3.65     
8         9         0.15      
9         0         nan       
9         1         nan       
9         2         -19.7     
9         3         nan       
9         4         nan       
9         5         -21.8     
9         6         nan       
9         7         -4.1      
9         8         -22.6     
9         9         -15.75    
