row       col       value     
0         0         -4.097    
0         1         -3.046    
0         2         -2.543    
0         3         -0.9471   
0         4         2.47      
0         5         4.84      
0         6         6.168     
0         7         6.372     
0         8         5.524     
0         9         6.618     
1         0         -8.639    
1         1         -3.189    
1         2         -2.943    
1         3         -2.555    
1         4         -0.0075   
1         5         0.99      
1         6         1.976     
1         7         1.979     
1         8         3.645     
1         9         4.425     
2         0         -9.035    
2         1         -3.38     
2         2         -3.073    
2         3         -2.768    
2         4         -0.9296   
2         5         1.08      
2         6         1.86      
2         7         3.175     
2         8         3.625     
2         9         4.994     
3         0         -7.689    
3         1         -3.365    
3         2         -3.112    
3         3         -2.77     
3         4         -0.2642   
3         5         1.771     
3         6         1.216     
3         7         3.195     
3         8         2.73      
3         9         4.717     
4         0         -7.682    
4         1         -3.523    
4         2         -3.214    
4         3         -2.898    
4         4         -0.9371   
4         5         0.1196    
4         6         1.033     
4         7         1.754     
4         8         3.752     
4         9         3.604     
5         0         -8.739    
5         1         -4.142    
5         2         -3.429    
5         3         -3.116    
5         4         -2.014    
5         5         -0.9717   
5         6         0.8517    
5         7         1.488     
5         8         3.047     
5         9         4.365     
6         0         -12.86    
6         1         -6.41     
6         2         -4.4      
6         3         -3.605    
6         4         -2.641    
6         5         -1.939    
6         6         -1.121    
6         7         0.3655    
6         8         1.5       
6         9         2.723     
7         0         -18.0     
7         1         -11.07    
7         2         -6.795    
7         3         -5.109    
7         4         -3.885    
7         5         -3.517    
7         6         -2.6      
7         7         -2.1      
7         8         -1.953    
7         9         -0.48     
8         0         -23.05    
8         1         -16.96    
8         2         -12.44    
8         3         -9.579    
8         4         -8.34     
8         5         -6.965    
8         6         -5.846    
8         7         -5.855    
8         8         -5.63     
8         9         -4.707    
9         0         nan       
9         1         -21.32    
9         2         -18.65    
9         3         -18.16    
9         4         -17.53    
9         5         -15.69    
9         6         -14.36    
9         7         -13.62    
9         8         -13.67    
9         9         -11.78    
