row       col       value     
0         0         -3.41     
0         1         -2.595    
0         2         1.455     
0         3         9.265     
0         4         18.89     
0         5         29.13     
0         6         36.07     
0         7         39.7      
0         8         41.85     
0         9         40.5      
1         0         -3.955    
1         1         -3.08     
1         2         -0.695    
1         3         5.18      
1         4         12.48     
1         5         22.88     
1         6         30.59     
1         7         35.41     
1         8         38.34     
1         9         37.12     
2         0         -3.76     
2         1         -3.195    
2         2         -0.39     
2         3         3.18      
2         4         14.41     
2         5         22.18     
2         6         26.21     
2         7         35.89     
2         8         38.44     
2         9         40.85     
3         0         -3.91     
3         1         -3.22     
3         2         -1.285    
3         3         3.17      
3         4         11.22     
3         5         23.35     
3         6         28.18     
3         7         33.94     
3         8         37.66     
3         9         39.95     
4         0         -4.125    
4         1         -3.215    
4         2         -1.362    
4         3         2.175     
4         4         12.82     
4         5         20.88     
4         6         27.31     
4         7         30.84     
4         8         36.43     
4         9         40.53     
5         0         -4.28     
5         1         -3.285    
5         2         -1.865    
5         3         1.88      
5         4         9.365     
5         5         17.17     
5         6         28.94     
5         7         32.66     
5         8         32.27     
5         9         38.07     
6         0         -4.91     
6         1         -3.585    
6         2         -2.88     
6         3         0.445     
6         4         10.48     
6         5         15.01     
6         6         27.71     
6         7         31.71     
6         8         30.77     
6         9         36.12     
7         0         -6.935    
7         1         -5.025    
7         2         -2.88     
7         3         -1.435    
7         4         8.115     
7         5         10.5      
7         6         18.4      
7         7         26.38     
7         8         23.48     
7         9         30.91     
8         0         -18.28    
8         1         -8.589    
8         2         -4.735    
8         3         -2.59     
8         4         4.085     
8         5         4.705     
8         6         9.785     
8         7         10.85     
8         8         17.58     
8         9         27.89     
9         0         nan       
9         1         -13.16    
9         2         -11.7     
9         3         -8.14     
9         4         -4.34     
9         5         -4.38     
9         6         -1.965    
9         7         -2.05     
9         8         -3.375    
9         9         6.82      
