row       col       value     
0         0         -3.4      
0         1         -2.05     
0         2         3.2       
0         3         3.45      
0         4         13.35     
0         5         23.35     
0         6         30.8      
0         7         43.35     
0         8         47.95     
0         9         48.65     
1         0         -3.8      
1         1         -3.2      
1         2         -2.3      
1         3         1.5       
1         4         14.55     
1         5         14.35     
1         6         32.8      
1         7         28.5      
1         8         46.3      
1         9         56.1      
2         0         -4.9      
2         1         -3.2      
2         2         -0.45     
2         3         5.35      
2         4         7.2       
2         5         20.6      
2         6         38.8      
2         7         51.3      
2         8         54.15     
2         9         61.9      
3         0         -4.1      
3         1         -3.2      
3         2         -3.1      
3         3         5.15      
3         4         11.2      
3         5         22.85     
3         6         28.1      
3         7         49.5      
3         8         36.8      
3         9         55.1      
4         0         -3.7      
4         1         -3.3      
4         2         -3.0      
4         3         -3.0      
4         4         5.5       
4         5         13.95     
4         6         34.65     
4         7         42.55     
4         8         34.75     
4         9         47.95     
5         0         -4.2      
5         1         -3.3      
5         2         -3.1      
5         3         -1.3      
5         4         5.95      
5         5         10.45     
5         6         26.4      
5         7         38.85     
5         8         42.1      
5         9         42.6      
6         0         -7.4      
6         1         -3.2      
6         2         -3.2      
6         3         1.25      
6         4         10.1      
6         5         12.0      
6         6         24.1      
6         7         39.95     
6         8         37.25     
6         9         60.55     
7         0         -7.125    
7         1         -3.3      
7         2         -2.95     
7         3         -2.6      
7         4         3.1       
7         5         14.0      
7         6         13.8      
7         7         29.55     
7         8         28.85     
7         9         43.6      
8         0         -20.8     
8         1         -3.3      
8         2         -3.2      
8         3         -2.1      
8         4         -1.3      
8         5         7.9       
8         6         9.35      
8         7         13.15     
8         8         19.15     
8         9         21.85     
9         0         nan       
9         1         -13.85    
9         2         -7.55     
9         3         -4.0      
9         4         -5.5      
9         5         -3.3      
9         6         -3.5      
9         7         -2.9      
9         8         6.2       
9         9         -3.2      
