row       col       value     
0         0         -3.45     
0         1         -2.35     
0         2         0.97      
0         3         4.64      
0         4         6.135     
0         5         12.34     
0         6         14.93     
0         7         16.65     
0         8         18.19     
0         9         19.53     
1         0         -4.21     
1         1         -3.335    
1         2         -2.46     
1         3         -0.515    
1         4         1.645     
1         5         2.935     
1         6         4.005     
1         7         6.6       
1         8         3.39      
1         9         5.825     
2         0         -3.848    
2         1         -3.54     
2         2         -3.655    
2         3         -1.655    
2         4         0.06      
2         5         1.25      
2         6         2.15      
2         7         -2.9      
2         8         1.9       
2         9         3.544     
3         0         -4.155    
3         1         -4.025    
3         2         -3.35     
3         3         -4.4      
3         4         -2.945    
3         5         -3.635    
3         6         0.35      
3         7         -4.583    
3         8         -2.639    
3         9         -2.979    
4         0         -4.35     
4         1         -5.095    
4         2         -4.435    
4         3         -3.98     
4         4         -5.0      
4         5         -6.12     
4         6         -7.71     
4         7         -7.094    
4         8         -9.094    
4         9         -11.21    
5         0         -4.43     
5         1         -8.11     
5         2         -7.32     
5         3         -6.23     
5         4         -8.24     
5         5         -8.235    
5         6         -10.47    
5         7         -14.99    
5         8         -9.656    
5         9         -10.06    
6         0         -5.5      
6         1         -9.95     
6         2         -10.04    
6         3         -12.35    
6         4         -7.4      
6         5         -9.4      
6         6         -10.12    
6         7         -12.94    
6         8         -13.84    
6         9         -14.35    
7         0         -7.07     
7         1         -15.36    
7         2         -14.37    
7         3         -13.27    
7         4         -11.95    
7         5         -11.24    
7         6         -14.07    
7         7         -14.32    
7         8         -14.12    
7         9         -15.64    
8         0         -20.55    
8         1         -19.67    
8         2         -19.29    
8         3         -17.68    
8         4         -16.24    
8         5         -14.86    
8         6         -17.81    
8         7         -16.01    
8         8         -15.48    
8         9         -15.05    
9         0         -24.4     
9         1         -25.5     
9         2         nan       
9         3         nan       
9         4         -20.6     
9         5         nan       
9         6         nan       
9         7         nan       
9         8         nan       
9         9         nan       
