row       col       value     
0         0         -3.3      
0         1         -1.1      
0         2         2.4       
0         3         23.55     
0         4         35.5      
0         5         34.65     
0         6         34.8      
0         7         38.2      
0         8         31.95     
0         9         38.6      
1         0         -3.8      
1         1         -3.3      
1         2         1.5       
1         3         5.15      
1         4         35.75     
1         5         35.25     
1         6         38.65     
1         7         34.95     
1         8         35.65     
1         9         48.6      
2         0         -4.3      
2         1         -3.3      
2         2         1.35      
2         3         2.1       
2         4         26.6      
2         5         40.75     
2         6         41.8      
2         7         42.35     
2         8         39.8      
2         9         61.2      
3         0         -3.95     
3         1         -3.1      
3         2         -0.25     
3         3         5.9       
3         4         22.15     
3         5         36.3      
3         6         41.4      
3         7         44.3      
3         8         47.5      
3         9         59.85     
4         0         -4.2      
4         1         -3.15     
4         2         1.0       
4         3         0.9       
4         4         26.1      
4         5         29.6      
4         6         45.15     
4         7         45.1      
4         8         32.1      
4         9         50.9      
5         0         -4.3      
5         1         -3.3      
5         2         -0.65     
5         3         -0.8      
5         4         5.95      
5         5         31.65     
5         6         44.15     
5         7         48.3      
5         8         31.4      
5         9         57.05     
6         0         -5.4      
6         1         -3.2      
6         2         -1.9      
6         3         -1.8      
6         4         3.3       
6         5         18.5      
6         6         44.0      
6         7         42.35     
6         8         42.15     
6         9         52.2      
7         0         -14.3     
7         1         -4.2      
7         2         -3.0      
7         3         -2.7      
7         4         0.75      
7         5         14.25     
7         6         5.9       
7         7         26.95     
7         8         16.75     
7         9         53.95     
8         0         -15.4     
8         1         -15.9     
8         2         -3.3      
8         3         -3.3      
8         4         -2.95     
8         5         -0.8      
8         6         2.15      
8         7         -2.45     
8         8         13.0      
8         9         3.25      
9         0         nan       
9         1         nan       
9         2         -17.6     
9         3         -17.0     
9         4         -4.4      
9         5         -3.3      
9         6         -5.95     
9         7         -3.4      
9         8         -5.2      
9         9         -3.3      
