solution_1,0,1,2,3,4,5,6,7,8,9
0,-3.2999999783933163,-1.1000001160427928,2.399999724701047,23.549998895730823,35.4999985601753,34.649998562410474,34.799998842179775,38.199998445343226,31.949998599942774,38.59999850112945
1,-3.7999999998137355,-3.2999999783933163,1.499999763444066,5.149999650660902,35.74999853223562,35.24999878415838,38.64999850327149,34.949998419266194,35.649998685345054,48.59999819798395
2,-4.300000021234155,-3.2999999783933163,1.3499997570179403,2.0999997118487954,26.599999029189348,40.74999859603122,41.79999844636768,42.3499985486269,39.79999831924215,61.199997891671956
3,-3.9500000062398612,-3.0999999698251486,-0.2500001569278538,5.899999488145113,22.14999910769984,36.299998751841486,41.39999819453806,44.2999984389171,47.499998149462044,59.8499979111366
4,-4.200000016950071,-3.1500000106170774,0.9999998193234205,0.8999997763894498,26.099999046418816,29.599998771212995,45.149998515378684,45.09999851323664,32.0999986063689,50.89999794727191
5,-4.300000021234155,-3.2999999783933163,-0.6500001740641892,-0.8000001031905413,5.949999528937042,31.649998704437166,44.14999808045104,48.299998458474874,31.399998653680086,57.04999821772799
6,-5.400000068359077,-3.1999999741092324,-1.9000000730156898,-1.800000068731606,3.299999647308141,18.499999220483005,43.99999842606485,42.349998275283724,42.1499981880188,52.19999800436199
7,-14.300000449642539,-4.200000016950071,-2.9999999655410647,-2.700000029988587,0.7499998086132109,14.249999307561666,5.899999761488289,26.949999084230512,16.74999941745773,53.94999804208055
8,-15.400000496767461,-15.90000051818788,-3.2999999783933163,-3.2999999783933163,-2.9500000020489097,-0.8000001031905413,2.1499997139908373,-2.4500000192783773,12.999999369960278,3.2499998011626303
9,,,-17.600000861566514,-17.000000565312803,-4.4000000255182385,-3.2999999783933163,-5.950000091921538,-3.3999999826774,-5.200000059790909,-3.2999999783933163
