solution_1,0,1,2,3,4,5,6,7,8,9
0,-3.429999983962625,-1.830000070016831,1.009999788971618,9.314999423408882,20.274999115150422,27.204998840996996,28.039998854417355,32.00999870426021,34.66499864491634,35.27499863295816
1,-3.6999999955296516,-3.079999980563298,-1.0850001461803913,6.719999574916438,14.564999282825738,20.679999031173065,25.38999892929569,27.69499890161678,33.35999869336374,32.684998616669326
2,-3.9000000040978193,-3.1099999779835343,-1.000000123353675,7.024999576667324,13.14499936858192,18.32499914271757,23.039998974930494,32.6449987125583,34.85999860689044,36.4849985729903
3,-3.9800000075250863,-3.2049999781884253,-1.0550001063849777,5.4899996380321685,15.464999302336945,20.31999915628694,21.594999040290713,28.96499880887568,31.79499871050939,37.58999851983972
4,-4.040000010095537,-3.144999987212941,-1.3200000752229244,1.4449997652322053,11.429999457439408,17.919999226694927,20.334999106265606,28.404998893663286,32.65999862747267,35.33999860840849
5,-4.350000031106174,-3.269999977108091,-2.020000047236681,0.5349998151417822,9.724999449122697,13.969999311026186,23.54999897358939,29.688748763687908,31.354998792847617,37.389998444449155
6,-5.385000071581453,-3.369999985257164,-2.6850000061560424,1.2249997328966855,7.9749994822312145,9.319999462831765,22.174999038362877,25.929998906189574,30.884998768288643,37.46499857273884
7,-8.687500210339204,-4.600000034086406,-2.450000034738332,-0.5650001005735248,4.0899995461571965,7.154999625170603,12.424999353056773,19.544999200245364,23.334998999582602,29.939998754719273
8,-18.43500064224936,-8.390000200318173,-3.8150000932160766,-2.8650000409223138,-0.4500001304317266,4.0549996579997245,4.6299996667541565,9.519999401411042,13.414999329624697,16.68499918812886
9,,-15.812500524101779,-11.89375036105048,-6.750000169138527,-6.461111302073631,-4.072222392126504,-5.760000149346888,-3.7050000690389426,0.19999972601524657,1.604999649245292
