row       col       value     
0         0         -4.6      
0         1         -2.15     
0         2         -0.1      
0         3         -0.85     
0         4         2.5       
0         5         -0.2      
0         6         0.4       
0         7         3.45      
0         8         5.15      
0         9         -0.1      
1         0         -17.2     
1         1         -2.65     
1         2         -1.7      
1         3         -1.85     
1         4         -2.05     
1         5         -0.6      
1         6         0.6       
1         7         15.9      
1         8         -1.2      
1         9         -0.7      
2         0         -6.25     
2         1         -3.3      
2         2         -2.25     
2         3         -2.6      
2         4         -0.35     
2         5         -0.2      
2         6         -3.0      
2         7         15.2      
2         8         -1.0      
2         9         -0.05     
3         0         -18.3     
3         1         -3.25     
3         2         -1.45     
3         3         -1.5      
3         4         0.5       
3         5         -1.8      
3         6         2.95      
3         7         5.25      
3         8         -1.35     
3         9         6.2       
4         0         -14.05    
4         1         -3.8      
4         2         -3.4      
4         3         -3.3      
4         4         -0.55     
4         5         -1.7      
4         6         -2.0      
4         7         9.9       
4         8         5.45      
4         9         37.05     
5         0         -20.3     
5         1         -3.6      
5         2         -3.4      
5         3         -2.4      
5         4         -1.55     
5         5         -1.5      
5         6         6.25      
5         7         15.4      
5         8         -1.6      
5         9         -0.05     
6         0         -13.7     
6         1         -5.0      
6         2         -3.5      
6         3         -1.2      
6         4         4.4       
6         5         -3.2      
6         6         -2.5      
6         7         18.85     
6         8         15.0      
6         9         -1.7      
7         0         -16.9     
7         1         -14.9     
7         2         -4.3      
7         3         -4.1      
7         4         -3.65     
7         5         -2.9      
7         6         -5.2      
7         7         19.7      
7         8         -1.8      
7         9         -1.4      
8         0         -23.8     
8         1         -14.4     
8         2         -10.9     
8         3         -3.8      
8         4         -4.4      
8         5         -3.4      
8         6         -6.9      
8         7         -3.95     
8         8         -6.65     
8         9         -0.5      
9         0         nan       
9         1         nan       
9         2         -16.4     
9         3         -16.9     
9         4         nan       
9         5         nan       
9         6         -9.0      
9         7         -13.0     
9         8         -13.4     
9         9         -9.8      
