solution_1,0,1,2,3,4,5,6,7,8,9
0,-4.390336160857168,-3.034166660082216,-2.463750024687033,-1.243750087734467,1.9520831205377667,6.237082972563803,8.002207906140635,10.289166176004802,11.612499485785763,14.675041038209262
1,-11.632456479442975,-3.2266666493262166,-2.7870833425743817,-2.102083381762107,-0.21166679312009365,1.3798539679613895,3.244166381591155,3.7920830129878595,6.110749626799953,10.967478652965898
2,-9.961666939791758,-3.2537499822094107,-2.9637499968404883,-1.8875000613663966,-0.6087501178262755,2.425062269868795,3.462916391482577,5.897499613370746,7.413478745892644,11.365978618703473
3,-9.056666897788334,-3.2787499810258547,-3.0420833257997097,-2.3479167001942796,-0.9516667644338062,1.0854164746589958,2.870416396879591,4.5387496672337875,7.445395409467165,9.745812003097187
4,-9.411666910431814,-3.7975000022832925,-3.1133333314287785,-2.6216666871332563,-1.7620833944451684,0.30874983240306997,1.5020831216087875,2.0245830866857433,5.142083002685103,10.102020287323588
5,-11.043333648932942,-5.095833394459138,-3.5470833281093896,-3.021250002202578,-1.5562500800394143,-1.4375001045021538,0.4166664837587935,1.5108539279511508,2.8853122164301266,7.146166233419596
6,-13.480000427074264,-10.530416962869156,-5.512500087350296,-4.129583369812463,-2.5120833702928698,-1.6687500686966814,-1.8212501077835137,-0.752333476766944,0.6281873134430498,3.616666360789289
7,-18.140417294363335,-15.848333868943154,-10.872916989137108,-8.112500198092311,-6.537916829142099,-5.124583427542045,-3.977083453058731,-3.369583443389274,-3.0916667596631062,-0.07416686398598055
8,-23.400000845328115,-21.167143611654286,-17.978205754915173,-15.520513353164857,-13.447500432100302,-13.626087409869323,-11.835398645581167,-12.14821468007202,-12.943458369741581,-10.18571461083567
9,,-23.02000082321465,-22.081250816816464,-21.146429361309856,-20.163889604775857,-19.20952448237776,-18.350000623147935,-18.078572040091135,-18.863333983626216,-16.592105869988078
