,NI-FC-B,NI-FC-C,NI-FC-R,NI-SM-B,NI-SM-C,NI-SM-R,I-FC-B,I-FC-C,I-FC-R,I-SM-B,I-SM-C,I-SM-R
NI-FC-B,0.0,0.8837890625,0.5390625,1.0,0.0009765625,0.0009765625,0.0966796875,0.0244140625,0.947265625,0.9677734375,0.0009765625,0.0009765625
NI-FC-C,0.1376953125,0.0,0.1611328125,0.990234375,0.0009765625,0.0009765625,0.013671875,0.0068359375,0.8388671875,0.947265625,0.0009765625,0.0009765625
NI-FC-R,0.5,0.8623046875,0.0,0.9951171875,0.0009765625,0.0009765625,0.052734375,0.3125,0.9677734375,0.9814453125,0.0009765625,0.0009765625
NI-SM-B,0.0009765625,0.013671875,0.0068359375,0.0,0.0009765625,0.0009765625,0.0009765625,0.001953125,0.0185546875,0.3125,0.0009765625,0.0009765625
NI-SM-C,1.0,1.0,1.0,1.0,0.0,0.9345703125,1.0,1.0,1.0,1.0,0.9033203125,0.8837890625
NI-SM-R,1.0,1.0,1.0,1.0,0.080078125,0.0,1.0,1.0,1.0,1.0,0.2783203125,0.4609375
I-FC-B,0.919921875,0.990234375,0.9580078125,1.0,0.0009765625,0.0009765625,0.0,0.5390625,1.0,0.9970703125,0.0009765625,0.0009765625
I-FC-C,0.9814453125,0.9951171875,0.7216796875,0.9990234375,0.0009765625,0.0009765625,0.5,0.0,0.9990234375,0.9931640625,0.0009765625,0.0009765625
I-FC-R,0.0654296875,0.1875,0.0419921875,0.986328125,0.0009765625,0.0009765625,0.0009765625,0.001953125,0.0,0.919921875,0.0009765625,0.0009765625
I-SM-B,0.0419921875,0.0654296875,0.0244140625,0.7216796875,0.0009765625,0.0009765625,0.0048828125,0.009765625,0.0966796875,0.0,0.0009765625,0.0009765625
I-SM-C,1.0,1.0,1.0,1.0,0.1162109375,0.75390625,1.0,1.0,1.0,1.0,0.0,0.5771484375
I-SM-R,1.0,1.0,1.0,1.0,0.1376953125,0.5771484375,1.0,1.0,1.0,1.0,0.4609375,0.0
