,I-FC-R,I-FC-B,I-FC-C,I-SM-R,I-SM-B,I-SM-C,NI-FC-R,NI-FC-B,NI-FC-C,NI-SM-R,NI-SM-B,NI-SM-C
I-FC-R,0.0,0.0009765625,0.0654296875,1.0,0.0009765625,0.9931640625,0.4228515625,0.0009765625,0.0322265625,1.0,0.0009765625,1.0
I-FC-B,1.0,0.0,1.0,1.0,0.0185546875,1.0,1.0,0.1611328125,1.0,1.0,0.001953125,1.0
I-FC-C,0.947265625,0.0009765625,0.0,1.0,0.001953125,0.998046875,0.9033203125,0.0009765625,0.34765625,1.0,0.0009765625,1.0
I-SM-R,0.0009765625,0.0009765625,0.0009765625,0.0,0.0009765625,0.5846255401151188,0.0009765625,0.0009765625,0.001953125,0.8413447460685429,0.0009765625,0.8970483946339658
I-SM-B,1.0,0.986328125,0.9990234375,1.0,0.0,1.0,0.9990234375,0.9668419843505346,1.0,1.0,0.40619018204394236,1.0
I-SM-C,0.009765625,0.0009765625,0.0029296875,0.4153744598848812,0.0009765625,0.0,0.0322265625,0.0009765625,0.001953125,0.7411829407083272,0.0009765625,0.8413447460685429
NI-FC-R,0.615234375,0.0009765625,0.1162109375,1.0,0.001953125,0.9755859375,0.0,0.0009765625,0.1162109375,1.0,0.0009765625,1.0
NI-FC-B,1.0,0.8837890625,1.0,1.0,0.0331580156494654,1.0,1.0,0.0,1.0,1.0,0.0029296875,1.0
NI-FC-C,0.9755859375,0.0009765625,0.6875,0.9990234375,0.0009765625,0.9990234375,0.9033203125,0.0009765625,0.0,1.0,0.0009765625,1.0
NI-SM-R,0.0009765625,0.0009765625,0.0009765625,0.15865525393145707,0.0009765625,0.25881705929167276,0.0009765625,0.0009765625,0.0009765625,0.0,0.0009765625,0.6472715069443633
NI-SM-B,1.0,0.9990234375,1.0,1.0,0.5938098179560576,1.0,1.0,0.998046875,1.0,1.0,0.0,1.0
NI-SM-C,0.0009765625,0.0009765625,0.0009765625,0.1029516053660342,0.0009765625,0.15865525393145707,0.0009765625,0.0009765625,0.0009765625,0.3527284930556367,0.0009765625,0.0
