solution_1,0,1,2,3,4,5,6,7,8,9
0,-3.374999981606379,-1.7650000826921315,1.6549997626338153,9.299999496759847,19.9949990675319,27.904998867819085,29.624998826393856,31.459998699743302,29.87499886471778,33.23999872715213
1,-3.840000001527369,-2.979999999469146,-0.22000016723759472,5.904999675834551,14.909999324800447,22.509999052854255,26.829998871451245,27.084998887078836,29.81499876426533,32.279998696642
2,-3.7550000017508864,-3.009999989159405,-0.675000128755346,4.709999605035409,13.659999332530424,20.299999120086433,26.799998909654096,28.424998820386826,28.769998851185665,32.04999866704456
3,-3.915000004740432,-3.1549999876413493,-1.4000000902451575,3.60499971518293,12.739999362407252,21.554999065911396,23.974998976616188,28.499998870538548,27.474998841248453,29.10999881164171
4,-4.085000012023374,-3.2050000052433463,-1.1100001203361898,3.5049997231923045,10.699999429471792,20.154999176133423,23.679998971428724,26.544998855376615,26.679998892219736,31.669998661940916
5,-4.505000033881515,-3.324999983329326,-2.0850000384263696,2.2599997425917535,7.934999507293105,18.429999202303588,18.33499911981635,23.119999013422056,25.369998924573885,29.229998843977228
6,-5.10500005572103,-3.4599999852478502,-2.8950000112876295,1.3549997500609607,4.814999612839893,14.614999308018014,15.859999339282513,18.59499909975566,23.164999038679525,24.91999897127971
7,-9.075000225799158,-8.200000215368345,-3.0349999863654373,-0.7650001208763569,2.8949997005052865,9.669999489421025,11.604999418277293,16.439999267086385,18.909999164473266,19.864999202638863
8,-18.94500065636821,-14.760000504134222,-5.055000061308965,-1.890000049257651,-0.3600001108366996,2.5899997531436383,5.134999630553648,6.129999619349837,7.6499994484242055,11.366749403858558
9,,-21.300000749528408,-14.800000531798494,-12.360000385856257,-9.69000035622157,-5.645000264095143,-3.1350001180544496,-6.3722223622931375,-3.760000175749883,-0.7611113106314507
