,Gen,Mean,Min,Max,Std,-Std,+Std,type
0,0,-3.920000004954636,-5.300000064074993,-3.499999986961484,0.5153639711476288,-4.4353639761022645,-3.4046360338070074,best
1,1,-2.5300000227056443,-3.3999999826774,-0.7000001762062311,0.9654531850911066,-3.495453207796751,-1.5645468376145377,best
2,2,-1.5650000818539411,-2.9999999655410647,0.1999998237006366,1.1267319233494106,-2.6917320052033515,-0.4382681585045305,best
3,3,-0.7250001347623766,-2.3000000128522515,1.6999997333623469,1.3494905626275813,-2.0744906973899577,0.6244904278652047,best
4,4,0.5099998258054257,-2.0500000407919288,4.849999637808651,2.114450201349831,-1.6044503755444055,2.624450027155257,best
5,5,2.6749997605104,-2.0500000407919288,14.549999320413916,4.734461253863866,-2.0594614933534663,7.4094610143742665,best
6,6,3.729999685753137,-1.7000000644475222,17.849999113939703,5.814946011603245,-2.0849463258501086,9.544945697356383,best
7,7,6.109999622218311,-1.6000000601634383,30.249998681712896,9.913142417786158,-3.8031427955678474,16.02314204000447,best
8,8,6.29999962663278,-1.6000000601634383,30.44999876897782,9.872537316655565,-3.572537690022785,16.172536943288346,best
9,9,6.509999604569748,-1.6000000601634383,32.49999854620546,10.376338061120318,-3.8663384565505705,16.886337665690064,best
10,10,6.519999601133168,-1.6000000601634383,32.49999854620546,10.368851991320177,-3.8488523901870098,16.888851592453346,best
11,11,6.894999578548595,-1.6000000601634383,32.49999854620546,10.188901655760157,-3.2939020772115617,17.08390123430875,best
12,12,8.024999573407694,-1.6000000601634383,38.64999850327149,11.709957961630048,-3.6849583882223538,19.734957535037744,best
13,13,8.764999523945153,-1.6000000601634383,45.19999824417755,13.425647553581598,-4.6606480296364445,22.19064707752675,best
14,14,9.744999516103416,-1.6000000601634383,53.99999816156924,15.845368697754271,-6.100369181650855,25.590368213857687,best
15,15,10.409999502357095,-1.6000000601634383,53.99999816156924,15.922009426205552,-5.512009923848456,26.332008928562647,best
16,16,12.419999418687075,-1.6000000601634383,53.99999816156924,15.92699231446559,-3.506992895778515,28.346991733152663,best
17,17,14.609999343007804,-1.5500000580213964,53.99999816156924,16.945895718156343,-2.3358963751485398,31.555895061164147,best
18,18,14.769999338267372,-1.5500000580213964,53.99999816156924,17.058915011946628,-2.2889156736792557,31.828914350214,best
19,19,15.084999336441978,-1.5500000580213964,53.99999816156924,17.318184256343393,-2.233184919901415,32.40318359278537,best
20,20,15.179999344516546,-1.5500000580213964,54.94999812496826,17.532671793767886,-2.3526724492513402,32.712671138284435,best
21,21,16.054999304702505,-1.5500000580213964,57.49999784631655,18.6954058771675,-2.640406572464993,34.75040518187001,best
22,22,16.10999926412478,-1.5500000580213964,57.49999784631655,18.758088231335595,-2.648088967210814,34.86808749546037,best
23,23,16.10999926412478,-1.5500000580213964,57.49999784631655,18.758088231335595,-2.648088967210814,34.86808749546037,best
24,24,16.13499928866513,-1.5500000580213964,57.49999784631655,18.778737979838738,-2.6437386911736063,34.913737268503866,best
25,25,16.4849992767442,-1.5500000580213964,57.49999784631655,19.19986976521346,-2.714870488469259,35.68486904195766,best
26,26,16.4849992767442,-1.5500000580213964,57.49999784631655,19.19986976521346,-2.714870488469259,35.68486904195766,best
27,27,16.49499927717261,-1.5500000580213964,57.49999784631655,19.19239951120265,-2.6974002340300416,35.68739878837526,best
28,28,16.674999273428693,-1.5500000580213964,57.49999784631655,19.325672015914535,-2.650672742485842,36.00067128934323,best
29,29,16.804999275272714,-1.5500000580213964,57.49999784631655,19.231671766437636,-2.426672491164922,36.03667104171035,best
30,30,17.359999264404177,-1.5500000580213964,57.49999784631655,19.56784026228129,-2.2078409978771134,36.92783952668547,best
31,31,17.51499924384989,-1.5500000580213964,57.49999784631655,19.687521343525873,-2.1725220996759838,37.20252058737576,best
32,32,17.839999203383922,-1.5500000580213964,57.49999784631655,19.515055028817088,-1.6750558254331658,37.35505423220101,best
33,33,19.21999920536764,-1.5500000580213964,57.49999784631655,19.66958499702925,-0.4495857916616117,38.88958420239689,best
34,34,19.729999176971614,-1.5500000580213964,57.49999784631655,19.807639280451923,-0.07764010348030936,39.53763845742354,best
35,35,20.069999172352254,-1.5500000580213964,57.49999784631655,19.917192918120044,0.1528062542322104,39.9871920904723,best
36,36,20.069999172352254,-1.5500000580213964,57.49999784631655,19.917192918120044,0.1528062542322104,39.9871920904723,best
37,37,20.56999914352782,-1.5500000580213964,57.99999794643372,20.297193712809015,0.2728054307188046,40.867192856336835,best
38,38,20.799999165395274,-1.5500000580213964,57.99999794643372,20.409935647030746,0.3900635183645278,41.20993481242602,best
39,39,20.799999165395274,-1.5500000580213964,57.99999794643372,20.409935647030746,0.3900635183645278,41.20993481242602,best
