,Gen,Mean,Min,Max,Std,-Std,+Std,type
0,0,-3.5899999908171596,-3.9000000040978193,-3.499999986961484,0.14456832914143788,-3.7345683199585973,-3.445431661675722,best
1,1,-2.5400000617839398,-3.499999986961484,2.6499995421618223,1.7732454775001318,-4.313245539284072,-0.7667545842838079,best
2,2,-1.8600001405924558,-3.3999999826774,2.6499995421618223,1.8691975404591366,-3.729197681051592,0.009197399866680778,best
3,3,-0.7600001749116927,-2.9999999655410647,2.6499995421618223,1.6762754782687128,-2.4362756531804055,0.9162753033570201,best
4,4,2.459999708784744,-2.050000079441816,16.399999402463436,5.4983995918242705,-3.0383998830395265,7.958399300609015,best
5,5,3.129999683657661,-1.7000000644475222,16.399999402463436,5.21139121690899,-2.0813915332513293,8.341390900566651,best
6,6,5.9199995213188235,-1.7000000644475222,20.449998954776675,6.382796914446739,-0.46279739312791524,12.302796435765561,best
7,7,6.964999485341832,-1.7000000644475222,20.449998954776675,7.285706600609533,-0.3207071152677008,14.250706085951364,best
8,8,8.144999435404316,0.6499998043291271,23.64999866532162,7.5770522280118175,0.567947207392498,15.722051663416133,best
9,9,11.294999327138067,2.549999655224383,23.64999866532162,7.211325906604195,4.083673420533872,18.50632523374226,best
10,10,13.209999243961647,4.449999427422881,25.999999003484845,7.0867056577072045,6.123293586254443,20.296704901668853,best
11,11,14.349999250285327,4.449999427422881,25.999999003484845,6.887524723568999,7.462474526716328,21.237523973854326,best
12,12,15.684999191528187,4.449999427422881,30.0499987504445,7.658983026598235,8.026016164929953,23.34398221812642,best
13,13,15.80499918893911,4.449999427422881,30.0499987504445,7.576425369578993,8.228573819360118,23.381424558518102,best
14,14,15.80499918893911,4.449999427422881,30.0499987504445,7.576425369578993,8.228573819360118,23.381424558518102,best
15,15,16.40499916425906,4.449999427422881,30.0499987504445,7.331386050471761,9.0736131137873,23.73638521473082,best
16,16,16.574999159947037,4.449999427422881,31.09999856213108,7.495239868578311,9.079759291368726,24.07023902852535,best
17,17,19.354999090358614,9.299999481998384,32.749998674262315,7.361536561662755,11.99346252869586,26.71653565202137,best
18,18,19.354999090358614,9.299999481998384,32.749998674262315,7.361536561662755,11.99346252869586,26.71653565202137,best
19,19,19.354999090358614,9.299999481998384,32.749998674262315,7.361536561662755,11.99346252869586,26.71653565202137,best
20,20,20.034999042050913,9.299999481998384,33.19999842019752,7.525424896747074,12.509574145303839,27.56042393879799,best
21,21,21.869998985808344,9.299999481998384,39.54999834718183,8.201865316510116,13.668133669298228,30.07186430231846,best
22,22,22.9599990142975,9.299999481998384,39.54999834718183,8.25005424032448,14.709944773973021,31.210053254621982,best
23,23,23.26749897459522,9.299999481998384,39.54999834718183,8.527924747011097,14.739574227584123,31.79542372160632,best
24,24,23.7024989544414,12.749999397899956,39.54999834718183,7.900493733207005,15.802005221234394,31.602992687648403,best
25,25,23.81249895929359,12.749999397899956,39.54999834718183,7.865503876876508,15.94699508241708,31.678002836170094,best
26,26,23.88249893896282,12.749999397899956,39.54999834718183,7.776471030243267,16.10602790871955,31.658969969206087,best
27,27,24.857498954376204,12.749999397899956,39.54999834718183,8.035935046584044,16.82156390779216,32.89343400096025,best
28,28,25.51249889326282,12.749999397899956,39.54999834718183,8.387589123104995,17.124909770157824,33.90008801636782,best
29,29,25.89749888284132,12.749999397899956,39.54999834718183,7.938107561594594,17.959391321246724,33.83560644443591,best
30,30,27.632498872978612,12.749999397899956,40.99999860674143,8.278904005231906,19.353594867746708,35.91140287821052,best
31,31,27.67749889451079,12.749999397899956,40.99999860674143,8.256697364298748,19.420801530212042,35.934196258809536,best
32,32,28.18749887784943,12.749999397899956,40.99999860674143,8.395230861810349,19.79226801603908,36.582729739659776,best
33,33,28.18749887784943,12.749999397899956,40.99999860674143,8.395230861810349,19.79226801603908,36.582729739659776,best
34,34,30.03749876371585,12.749999397899956,46.399998179636896,9.533632538253203,20.503866225462644,39.571131301969054,best
35,35,30.03749876371585,12.749999397899956,46.399998179636896,9.533632538253203,20.503866225462644,39.571131301969054,best
36,36,30.344998748460785,12.749999397899956,46.399998179636896,9.667379064384178,20.677619684076607,40.01237781284496,best
37,37,31.514998702239247,20.849999050609767,46.399998179636896,8.492144558668333,23.022854143570914,40.00714326090758,best
38,38,32.58499864758924,20.849999050609767,46.399998179636896,7.906106506601199,24.67889214098804,40.491105154190436,best
39,39,33.21999867162667,20.849999050609767,46.399998179636896,7.7128525911116155,25.507146080515053,40.93285126273828,best
