,Gen,Mean,Min,Max,Std,-Std,+Std,type
0,0,-3.549999989103526,-3.9000000040978193,-3.3999999826774,0.13601471091433848,-3.6860147000178642,-3.4139852781891875,random
1,1,-2.7500000281259416,-3.499999986961484,3.499999579973519,2.0843462898605596,-4.834346317986501,-0.665653738265382,random
2,2,-2.7400000276975334,-3.499999986961484,3.499999579973519,2.0814416774160724,-4.821441705113606,-0.6585583502814609,random
3,3,-2.715000030491501,-3.499999986961484,3.499999579973519,2.0736500335184287,-4.78865006400993,-0.6413499969730725,random
4,4,-0.5150001177564263,-3.499999986961484,24.749998713843524,8.424489209117553,-8.939489326873979,7.909489091361126,random
5,5,-0.505000117328018,-3.499999986961484,24.749998713843524,8.421117410109236,-8.926117527437254,7.916117292781218,random
6,6,-0.48500011647120117,-3.499999986961484,24.749998713843524,8.41445294927593,-8.899453065747132,7.929452832804729,random
7,7,-0.45500011518597605,-3.499999986961484,24.749998713843524,8.404178629485042,-8.859178744671018,7.949178514299065,random
8,8,-0.4450001147575676,-3.499999986961484,24.749998713843524,8.400965327677515,-8.845965442435082,7.955965212919947,random
9,9,-0.4450001147575676,-3.499999986961484,24.749998713843524,8.400965327677515,-8.845965442435082,7.955965212919947,random
10,10,-0.08500011838041246,-3.499999986961484,27.049998853821307,9.053508643780466,-9.138508762160878,8.968508525400054,random
11,11,-0.06500011752359569,-3.3999999826774,27.049998853821307,9.046270986593987,-9.111271104117582,8.981270869070391,random
12,12,-0.025000123539939523,-3.3999999826774,27.049998853821307,9.03230971620643,-9.05730983974637,9.007309592666491,random
13,13,0.05999983758665621,-3.3999999826774,27.049998853821307,9.005048252469084,-8.945048414882429,9.06504809005574,random
14,14,0.0699998380150646,-3.2999999783933163,27.049998853821307,9.001255136368693,-8.931255298353628,9.071254974383757,random
15,15,0.0699998380150646,-3.2999999783933163,27.049998853821307,9.001255136368693,-8.931255298353628,9.071254974383757,random
16,16,0.0699998380150646,-3.2999999783933163,27.049998853821307,9.001255136368693,-8.931255298353628,9.071254974383757,random
17,17,0.0699998380150646,-3.2999999783933163,27.049998853821307,9.001255136368693,-8.931255298353628,9.071254974383757,random
18,18,0.0699998380150646,-3.2999999783933163,27.049998853821307,9.001255136368693,-8.931255298353628,9.071254974383757,random
19,19,0.0699998380150646,-3.2999999783933163,27.049998853821307,9.001255136368693,-8.931255298353628,9.071254974383757,random
20,20,0.12999983285553754,-3.2999999783933163,27.049998853821307,8.980567581241045,-8.850567748385508,9.110567414096582,random
21,21,0.5499997814185917,-3.2999999783933163,27.049998853821307,8.922387243265375,-8.372387461846783,9.472387024683966,random
22,22,0.5499997814185917,-3.2999999783933163,27.049998853821307,8.922387243265375,-8.372387461846783,9.472387024683966,random
23,23,1.5049997414462268,-3.2999999783933163,27.049998853821307,9.097017025241627,-7.5920172837954,10.602016766687854,random
24,24,1.5049997414462268,-3.2999999783933163,27.049998853821307,9.097017025241627,-7.5920172837954,10.602016766687854,random
25,25,1.7299997510854155,-3.2999999783933163,27.049998853821307,9.267502024610549,-7.537502273525133,10.997501775695964,random
26,26,1.7299997510854155,-3.2999999783933163,27.049998853821307,9.267502024610549,-7.537502273525133,10.997501775695964,random
27,27,1.7299997510854155,-3.2999999783933163,27.049998853821307,9.267502024610549,-7.537502273525133,10.997501775695964,random
28,28,1.784999749576673,-3.2999999783933163,27.049998853821307,9.241727047093454,-7.456727297516781,11.026726796670127,random
29,29,2.6349997009616346,-3.2999999783933163,27.049998853821307,10.26486809167785,-7.629868390716215,12.899867792639483,random
30,30,2.6349997009616346,-3.2999999783933163,27.049998853821307,10.26486809167785,-7.629868390716215,12.899867792639483,random
31,31,2.6349997009616346,-3.2999999783933163,27.049998853821307,10.26486809167785,-7.629868390716215,12.899867792639483,random
32,32,2.6349997009616346,-3.2999999783933163,27.049998853821307,10.26486809167785,-7.629868390716215,12.899867792639483,random
33,33,2.799999716039747,-3.2999999783933163,27.049998853821307,10.52373470966613,-7.723734993626382,13.323734425705876,random
34,34,4.334999646665528,-3.2999999783933163,35.19999850867316,13.575658782546588,-9.24065913588106,17.910658429212116,random
35,35,4.664999637752771,-3.2999999783933163,35.19999850867316,13.446208069155979,-8.781208431403208,18.11120770690875,random
36,36,4.7049996317364275,-3.2999999783933163,35.19999850867316,13.42332714197161,-8.718327510235182,18.12832677370804,random
37,37,4.7049996317364275,-3.2999999783933163,35.19999850867316,13.42332714197161,-8.718327510235182,18.12832677370804,random
38,38,4.7049996317364275,-3.2999999783933163,35.19999850867316,13.42332714197161,-8.718327510235182,18.12832677370804,random
39,39,5.449999613268301,-3.2999999783933163,35.19999850867316,13.347396244559691,-7.89739663129139,18.797395857827993,random
